"Description: This spreadsheet contains the IMBIE-2019 dataset for Greenland, which includes data on the annual rate of change and cumulative change in Greenland’s ice sheet mass, its surface mass balance and ice discharge anomalies, and their estimated uncertainty. The data are expressed in units of equivalent mean global sea level rise (millimetres per year – columns B, C, F, G, J and K, and millimetres – columns D, E, H, I, L and M).	",,,,
Source: http://imbie.org/data-downloads/,,,,
"Publication: Mass balance of the Antarctic ice sheet from 1992 to 2017. Nature, (2019)",,,,
"Downloaded: May 23, 2020",,,,
,,,,
Year,Cumulative ice mass change (Gt),Cumulative ice mass change uncertainty (Gt),Cumulative sea level contribution (mm),Cumulative sea level contribution uncertainty (mm)
1992,4.408333333,7.221207194,-0.01224537,0.020058909
1992.08,11.47500443,50.02999101,-0.031875012,0.138972197
1992.17,19.65,53.06481885,-0.054583333,0.147402275
1992.25,10.59482072,59.02300661,-0.029430058,0.163952796
1992.33,9.46070508,65.01237702,-0.026279736,0.180589936
1992.42,7.559928906,70.57865118,-0.020999803,0.196051809
1992.5,7.334149665,75.77601422,-0.020372638,0.210488928
1992.58,9.05837314,80.66006675,-0.025162148,0.224055741
1992.67,11.46175785,85.27721397,-0.031838216,0.23688115
1992.75,13.06097861,89.6647643,-0.036280496,0.24906879
1992.83,12.13022584,94.04786475,-0.033695072,0.261244069
1992.92,13.41777608,98.58227606,-0.0372716,0.273839656
1993,16.38004435,103.124449,-0.045500123,0.286456803
1993.08,20.53537197,107.4874172,-0.0570427,0.298576159
1993.17,23.71986549,111.5148247,-0.065888515,0.309763402
1993.25,26.38956503,115.2824321,-0.073304347,0.320228978
1993.33,26.72869493,118.833984,-0.074246375,0.3300944
1993.42,22.27796157,122.3329359,-0.061883227,0.339813711
1993.5,16.09629785,125.8914809,-0.044711938,0.349698558
1993.58,7.547565444,129.4726802,-0.02096546,0.359646334
1993.67,-1.760580963,132.8219999,0.004890503,0.36895
1993.75,-13.1571285,135.831316,0.036547579,0.377309211
1993.83,-23.29797434,138.6502295,0.064716595,0.385139526
1993.92,-32.32083683,141.3911759,0.089780102,0.392753266
1994,-42.02056422,144.1214436,0.116723789,0.400337343
1994.08,-53.98993409,146.8237197,0.149972039,0.407843666
1994.17,-64.14639138,149.5029479,0.17818442,0.415285966
1994.25,-74.64090287,152.0771677,0.207335841,0.422436577
1994.33,-84.44165009,154.4934595,0.234560139,0.429148499
1994.42,-93.76659242,156.7720177,0.260462757,0.435477827
1994.5,-103.7120006,159.2017398,0.28808889,0.442227055
1994.58,-114.1420674,161.7476376,0.317061298,0.449298993
1994.67,-124.5303894,164.25506,0.345917748,0.456264055
1994.75,-136.6297856,166.6930709,0.379527182,0.463036308
1994.83,-148.5660451,169.0708454,0.412683459,0.469641237
1994.92,-160.3693175,171.4209443,0.445470326,0.47616929
1995,-171.0628892,173.7833504,0.475174692,0.482731529
1995.08,-179.82562,176.1722653,0.499515611,0.489367404
1995.17,-184.437708,178.7124806,0.512326967,0.496423557
1995.25,-188.2867328,181.2279813,0.523018702,0.503411059
1995.33,-189.5955862,183.5574667,0.526654406,0.509881852
1995.42,-189.9469257,185.649773,0.527630349,0.515693814
1995.5,-190.909754,187.8711906,0.530304872,0.521864418
1995.58,-193.3761063,190.3098574,0.537155851,0.528638493
1995.67,-195.1830245,192.752656,0.542175068,0.535424045
1995.75,-197.1407157,195.1232805,0.547613099,0.542009112
1995.83,-201.1194467,197.3843137,0.55866513,0.54828976
1995.92,-204.6225464,199.5750976,0.568395962,0.554375271
1996,-208.2276091,201.734767,0.578410025,0.560374353
1996.08,-211.5806614,203.887391,0.58772406,0.566353864
1996.17,-214.8418494,206.1103216,0.596782915,0.572528671
1996.25,-215.9808168,208.3131039,0.599946713,0.578647511
1996.33,-215.7921933,210.337609,0.599422759,0.584271136
1996.42,-214.7730782,212.147542,0.596591884,0.589298728
1996.5,-214.2604491,214.073059,0.595167914,0.594647386
1996.58,-213.537874,216.1270583,0.593160761,0.60035294
1996.67,-213.7557728,218.2749712,0.593766036,0.606319364
1996.75,-218.5673332,220.3507912,0.607131481,0.612085531
1996.83,-224.6092634,222.308769,0.623914621,0.617524358
1996.92,-230.4134663,224.2139383,0.640037406,0.622816495
1997,-237.0090395,226.1164292,0.658358443,0.628101192
1997.08,-244.0930713,228.1260473,0.678036309,0.633683465
1997.17,-249.1181353,230.1700326,0.69199482,0.639361202
1997.25,-251.075952,232.1470951,0.6974332,0.644853042
1997.33,-251.4152826,234.0175738,0.698375785,0.650048816
1997.42,-250.7036104,235.6731016,0.696398918,0.654647505
1997.5,-251.99181,237.5202416,0.69997725,0.659778449
1997.58,-253.317814,239.499218,0.703660594,0.665275606
1997.67,-256.0603412,241.4633353,0.711278726,0.670731487
1997.75,-260.5652784,243.3555819,0.72379244,0.675987728
1997.83,-261.8027003,245.1433363,0.727229723,0.680953712
1997.92,-264.7144891,246.876935,0.735318025,0.685769264
1998,-269.316963,248.5798896,0.748102675,0.690499693
1998.08,-270.4923502,250.3665033,0.751367639,0.695462509
1998.17,-270.0601618,252.183568,0.750167116,0.700509911
1998.25,-270.3423131,253.9807701,0.75095087,0.705502139
1998.33,-267.4451805,255.6259006,0.742903279,0.710071946
1998.42,-262.9801315,257.0459799,0.730500365,0.714016611
1998.5,-259.5323305,258.5365363,0.72092314,0.718157045
1998.58,-256.9206875,260.1535653,0.713668576,0.722648792
1998.67,-257.0093251,261.8211235,0.713914792,0.727280899
1998.75,-260.8328442,263.4560798,0.724535678,0.731822444
1998.83,-265.9435016,265.0313096,0.738731949,0.736198082
1998.92,-277.5658159,266.5471525,0.771016155,0.740408757
1999,-291.7458125,267.9817718,0.810405035,0.744393811
1999.08,-304.0538528,269.4968618,0.844594036,0.748602394
1999.17,-318.1161441,271.0438005,0.883655956,0.752899446
1999.25,-327.1550532,272.603145,0.908764037,0.757230958
1999.33,-332.7353165,274.1313923,0.924264768,0.76147609
1999.42,-336.3018708,275.5737512,0.934171863,0.765482642
1999.5,-340.3569079,276.9831656,0.945435855,0.769397682
1999.58,-344.3958788,278.4878341,0.956655219,0.773577317
1999.67,-347.0578658,280.0350303,0.964049627,0.777875084
1999.75,-353.0224202,281.5798985,0.980617834,0.782166385
1999.83,-358.1574977,283.1162847,0.994881938,0.786434124
1999.92,-364.9893979,284.6118445,1.013859439,0.790588457
2000,-370.4709044,286.0361122,1.029085845,0.794544756
2000.08,-373.9486733,287.5059059,1.038746315,0.798627516
2000.17,-376.8820299,288.9923776,1.046894527,0.802756604
2000.25,-377.2512008,290.4825143,1.047920002,0.806895873
2000.33,-377.6329252,291.9438111,1.048980348,0.810955031
2000.42,-377.8588725,293.2722746,1.049607979,0.814645207
2000.5,-379.3329505,294.5704483,1.05370264,0.818251245
2000.58,-380.9606336,295.9779709,1.058223982,0.82216103
2000.67,-382.8143709,297.4113336,1.063373253,0.826142593
2000.75,-387.868433,298.8321143,1.077412314,0.830089206
2000.83,-390.135567,300.2132287,1.083709908,0.833925635
2000.92,-394.7599021,301.5513352,1.096555284,0.837642598
2001,-398.7389296,302.8714212,1.107608138,0.841309503
2001.08,-404.692672,304.1860592,1.124146311,0.844961276
2001.17,-410.0685999,305.5073058,1.139079444,0.848631405
2001.25,-414.7328331,306.830039,1.152035648,0.852305664
2001.33,-418.6836632,308.1184442,1.163010176,0.855884567
2001.42,-419.3389385,309.2836463,1.164830385,0.85912124
2001.5,-418.5636226,310.4034297,1.162676729,0.862231749
2001.58,-418.6872635,311.5485871,1.163020176,0.865412742
2001.67,-417.8118468,312.6640089,1.160588463,0.868511136
