"parameter_names","parameter_values"
sd_temp,0.08035341585917762
sd_ocean_heat,3.382509163887214
sd_glaciers,0.00020548584489024342
sd_greenland,0.0005297108319127923
sd_antarctic,0.00033789357483115313
sd_gmsl,0.0006254469054542304
sigma_whitenoise_co2,0.21164489579915402
rho_temperature,0.5763551294738332
rho_ocean_heat,0.5257711650732767
rho_glaciers,-0.021382296733874318
rho_greenland,0.9798808209201137
rho_antarctic,0.9070584334984565
rho_gmsl,0.9274369326014517
alpha0_CO2,0.011801853335059403
CO2_0,280.66525291499414
N2O_0,269.1375746815674
temperature_0,0.013337893302404534
ocean_heat_0,-28.38987552542837
thermal_s0,0.033832474559571085
greenland_v0,7.42266973303683
glaciers_v0,0.4508600438968359
glaciers_s0,0.07562070253367921
antarctic_s0,0.04462173071951952
Q10,2.7884102811721823
CO2_fertilization,0.7430465939699891
CO2_diffusivity,29.746553606821173
heat_diffusivity,4.0113373303383115
rf_scale_aerosol,0.5344594258615865
climate_sensitivity,2.2231914618573017
thermal_alpha,0.1380179895250804
greenland_a,-0.17225928680742592
greenland_b,5.911233970916656
greenland_alpha,8.177761005908113e-5
greenland_beta,0.0002970261353324441
glaciers_beta0,0.0010596703621858913
glaciers_n,0.7925497666267028
anto_alpha,0.22895836526866614
anto_beta,0.8914142504178078
antarctic_gamma,3.808164752047355
antarctic_alpha,0.06280161235891538
antarctic_mu,10.557913805916435
antarctic_nu,0.007471895952030216
antarctic_precip0,0.1486470582775783
antarctic_kappa,0.06622146294498532
antarctic_flow0,1.2430937146977552
antarctic_runoff_height0,1239.6546263204757
antarctic_c,57.69233154068145
antarctic_bed_height0,818.6221444778186
antarctic_slope,0.0006876788734590351
antarctic_lambda,0.012093537299778929
antarctic_temp_threshold,-15.43850619826375
