year,ais,ais_lo,ais_hi,gsic,gsic_lo,gsic_hi,gis,gis_lo,gis_hi,steric,steric_lo,steric_hi,lws,lws_lo,lws_hi,dang,dang_sig,dang_lo,dang_hi
1900,-0.6340783032503996,-1.1909090540625829,-0.135909087007696,-7.27700420292941,-8.711818187887019,-5.75863636190241,-4.130332357233222,-5.1259090120142154,-3.1363637924194343,-3.6098928928375242,-4.488535174456509,-2.7237472815947097,1.5646033324978563,0.8104545333168723,2.2968181041154,-14.198217868071225,1.9013513550997623,,
1901,-0.6286254796114836,-1.1759090922095559,-0.135909087007696,-7.192015799609098,-8.621818035299128,-5.688636285608465,-4.14182832891291,-5.140909164602106,-3.1563634872436515,-3.6964476108551025,-4.497419222918423,-2.8534157081083817,1.8565911330960014,1.1054545380852439,2.58681825670329,-13.752241184900765,1.9793586629308142,,
1902,-0.6231535824862393,-1.1659090540625827,-0.135909087007696,-7.1059981909665195,-8.511818187887018,-5.628636438196356,-4.110059530084785,-5.110909240896052,-3.1413637161254884,-3.7697138309478753,-4.537406405535611,-2.9573383613066238,1.9890015640042045,1.245454547621987,2.7268182185563177,-14.911070353898126,1.9410401282707384,,
1903,-0.6177760037508879,-1.1559091112830417,-0.135909087007696,-7.048844107714567,-8.446818035299128,-5.563636285608465,-4.069244558160955,-5.065909164602107,-3.091363716125488,-3.89201683998108,-4.720405825701627,-3.0500416083769375,1.9943495788357475,1.245454547621987,2.7268182185563177,-13.898856883530264,1.9382080748203372,,
1904,-0.612356558713046,-1.1409090540625828,-0.135909087007696,-6.964708670702848,-8.3418184930628,-5.488636285608465,-3.986545354669745,-4.865909164602106,-3.1363637924194343,-4.005975580215455,-4.880475863543423,-3.1063808722929522,1.9546252288601615,1.2004545190117577,2.6868182567032894,-13.744080748090635,1.9062885306848965,,
1905,-0.6069045933810149,-1.1309091112830418,-0.135909087007696,-6.865145072070035,-8.231817882711237,-5.393636209314519,-3.965610296075995,-4.75590893572027,-3.191363716125488,-4.084479761123657,-4.823582705584438,-3.2861709876493963,2.011866287209771,1.2604545571587302,2.7568181422623717,-12.970216531161334,1.8778056024935137,,
1906,-0.6014521512118254,-1.1159090540625827,-0.14090908223932436,-6.785165366259489,-8.131817882711237,-5.313636285608465,-3.9195184534246272,-4.690909164602107,-3.146363639831543,-4.1820330142974855,-5.087132128802213,-3.2905945105986163,1.8110274352810602,1.0604545571587303,2.551818218556318,-14.432600292481698,1.867389295775021,,
1907,-0.5960208806124601,-1.1059091112830417,-0.14090908223932436,-6.7199607458981605,-8.05181834047491,-5.273636514490302,-3.8829637354070488,-4.665909164602106,-3.121363639831543,-4.245766305923461,-5.053520831194791,-3.449860410256819,1.7740370788357473,1.0254545190117574,2.5018182185563176,-13.798995908912747,1.8502969750179694,,
1908,-0.5906124981966887,-1.0909090540625828,-0.14090908223932436,-6.640979727831754,-7.956817882711237,-5.213636285608465,-3.8119527643377134,-4.590909164602106,-3.0513635635375977,-4.304152536392211,-5.185761126604947,-3.4153179450468576,1.8447394408962943,1.1004545190117576,2.581818142262372,-15.283324541043815,1.894808327135328,,
1909,-0.5851665410128508,-1.0809091112830418,-0.14590910131281076,-6.5662955847653475,-7.856817882711237,-5.148636514490302,-3.7546384638006036,-4.415909164602106,-3.1113637924194344,-4.4123697757720945,-5.262451037493618,-3.5983433051542804,1.9302844085476614,1.1854545571587303,2.6668181804093445,-14.744668796048046,1.8993319041471761,,
1910,-0.5797470959750088,-1.0709090731360698,-0.14590910131281076,-6.496743735400114,-7.786818187887018,-5.088636285608465,-3.709659749811346,-4.190909164602107,-3.2263635635375976,-4.497396707534791,-5.283419665423306,-3.6623451514677567,1.9672564544460993,1.2154545285485008,2.7218181041153997,-14.584220989879785,1.8801072713916969,,
1911,-0.5743019017306241,-1.0609091303565288,-0.14590910131281076,-6.407831534472379,-7.6768183404749095,-5.013636285608465,-3.7024556940252134,-4.175909012014215,-3.2263635635375976,-4.502541589736938,-5.3411139098080715,-3.662645368142562,2.0035834350369193,1.2554545380852438,2.7418181804093447,-13.043930420599185,1.8370140435839637,,
1912,-0.5688701542941008,-1.0509090922095559,-0.15090909654443913,-6.332779654589567,-7.586818187887019,-4.9486365144903015,-3.6499250238591983,-4.120909088308161,-3.171363639831543,-4.496937417984009,-5.297583636370572,-3.668254499001937,1.9851510085842823,1.245454547621987,2.7018182185563178,-12.278627734047507,1.7885820107069268,,
1913,-0.563472453030673,-1.0359091303565289,-0.15090909654443913,-6.264344748583707,-7.501818340474909,-4.88363636190241,-3.6160070245916187,-4.075909012014216,-3.1363637924194343,-4.43869423866272,-5.208056506243619,-3.6457573218779133,1.8794368781826714,1.1304545380852438,2.5918181804093448,-11.516863662958656,1.8020665924354191,,
1914,-0.5580358418551359,-1.0209090731360697,-0.15090909654443913,-6.151126059618863,-7.371818035299128,-4.793636209314519,-3.6001985376531427,-4.05590893572027,-3.1413637161254884,-4.3344473361969,-5.225079211321744,-3.4610725684599437,2.022380165078423,1.2654545285485006,2.7618182567032896,-11.317767953942738,1.7670565858230216,,
1915,-0.5526043805209073,-1.0109091303565287,-0.15090909654443913,-5.996160849657926,-7.206817882711237,-4.673636514490302,-3.567949086969549,-4.015909164602106,-3.121363639831543,-4.308618783950806,-5.1373373595151035,-3.452298764749007,2.111382202126763,1.3654545762322166,2.83681825670329,-10.966806909463546,1.7578373778798455,,
1916,-0.5471856984225187,-0.9959090731360698,-0.15090909654443913,-5.89606166752902,-7.076818340474909,-4.568636209314519,-3.5504369562322453,-4.0009090120142154,-3.1063634872436516,-4.27322907447815,-5.095237597552212,-3.4506382270292804,1.8790759124539114,1.120454547621987,2.5968181041153997,-13.597869378010007,1.7349715112671578,,
1917,-0.5418106946078214,-0.9859091303565288,-0.15090909654443913,-5.776659354296598,-6.926818340474909,-4.4586363619024105,-3.4816617792302904,-3.9209090883081608,-3.0413637161254883,-4.251692819595336,-5.084869250384243,-3.3894676490263516,1.5978003539822314,0.8554545380852439,2.3268182185563178,-12.611988349679645,1.7275176453821246,,
1918,-0.5363208684054288,-0.9759090922095557,-0.15590909177606754,-5.671779212084684,-6.781817882711237,-4.378636438196356,-3.470746785944159,-3.9059089357202694,-3.0413637161254883,-4.2542582035064695,-5.096025714007291,-3.404468564553693,1.8240431823513723,1.0754545190117577,2.551818218556318,-12.208527517008307,1.6961980693418357,,
1919,-0.5308707150545988,-0.9659090540625828,-0.15590909177606754,-5.585030707446012,-6.681817882711237,-4.303636438196356,-3.454160482233221,-3.88090893572027,-3.0313634872436515,-4.2755896091461185,-5.1055388060483065,-3.4511329932646317,2.0032219924710013,1.2554545380852438,2.7268182185563177,-11.564427391598436,1.7098070956402853,,
1920,-0.5255169781771574,-0.9509090922095558,-0.15590909177606754,-5.532799491015348,-6.6168184930628,-4.253636438196356,-3.4362096613103685,-3.860909240896052,-3.021363639831543,-4.26266884803772,-5.0812162962826815,-3.483283643289046,1.9461527862332084,1.2104545571587302,2.6568181422623716,-10.701706010615759,1.6511243623876197,,
1921,-0.5200888547030362,-0.9409090540625829,-0.15590909177606754,-5.471430548754606,-6.556817882711237,-4.213636285608465,-3.420304281061346,-3.8459090883081606,-3.0013635635375975,-4.285170221328736,-4.92666650685397,-3.5670395179228347,1.9045910873196343,1.1504545190117574,2.6318181422623717,-10.734537322586597,1.6259764380988178,,
1922,-0.5146193417635831,-0.9309091112830417,-0.15590909177606754,-5.397064169970426,-6.4768183404749085,-4.143636209314519,-3.4399301355535346,-3.850909012014216,-3.0263635635375974,-4.291196298599244,-4.963939150896938,-3.613166455789046,1.8647858657620173,1.1304545380852438,2.5968181041153997,-10.889055580499917,1.6606026170427017,,
1923,-0.5092426213351164,-0.9159090540625827,-0.15090909654443913,-5.277970084277067,-6.341818493062799,-4.043636209314519,-3.4075719659978687,-3.820909088308161,-3.0013635635375975,-4.334321069717407,-4.981467684832486,-3.6708923621611165,1.6636911430142145,0.9204545476219871,2.3718181041153996,-12.369379719999987,1.7128106274022006,,
1924,-0.5037558468905363,-0.9009090922095557,-0.15090909654443913,-5.183896597948942,-6.231817882711237,-3.963636285608465,-3.348880941217596,-3.745909088308161,-2.9513635635375977,-4.327344751358032,-5.018062075701627,-3.5847809119658036,1.7641135253689504,1.0404545285485007,2.4768182185563177,-11.843624490956326,1.5634046407890794,,
1925,-0.4983725461092862,-0.8909090540625828,-0.15090909654443913,-5.090534934130583,-6.1168184930628,-3.878636438196356,-3.3296964471990402,-3.7209090883081606,-2.9313634872436514,-4.261248254776,-4.963791903582486,-3.5287327094511554,1.7734913863918995,1.0254545190117574,2.4768182185563177,-12.308590158398246,1.606903303068736,,
1926,-0.49286192980679605,-0.8809091112830418,-0.15090909654443913,-4.98425517949191,-5.986818187887018,-3.788636285608465,-3.227677327936346,-3.610909240896052,-2.836363792419434,-4.176789331436157,-4.867051562395963,-3.4693149848417804,1.6941058196804744,0.9504545190117576,2.4018182185563175,-12.375294004599997,1.508864336079098,,
1927,-0.4874995144930753,-0.8659090540625827,-0.15590909177606754,-4.8710231390866365,-5.8518183404749085,-3.68363636190241,-3.1523057764226743,-3.5359092408960526,-2.7613637924194343,-4.124979639053345,-4.806061419573697,-3.408334760232405,1.5948192634365774,0.8654545285485007,2.2918181804093445,-11.688079061427516,1.478480361867988,,
1928,-0.48211411562832923,-0.8559091112830417,-0.15590909177606754,-4.768762549487027,-5.716818493062799,-3.588636285608465,-3.0399404352361508,-3.4159091646021063,-2.661363792419434,-4.053016519546508,-4.735761126604947,-3.352803449197249,1.7573971786282283,1.030454538085244,2.4668181804093448,-11.935822354782758,1.5202964161415013,,
1929,-0.47669376459988694,-0.8459090731360699,-0.15590909177606754,-4.671262320605192,-5.586818187887018,-3.488636285608465,-2.9371179407293146,-3.3009090120142153,-2.5713636398315427,-4.0196997165679935,-4.652452715960416,-3.3074791236357264,1.8360560455105523,1.1154545285485007,2.5268182185563175,-12.005013214767548,1.461346910347882,,
1930,-0.4712276372042569,-0.8309091112830418,-0.15590909177606754,-4.575126990404996,-5.476818340474909,-3.4036364381963558,-2.8757768457586117,-3.2409091646021064,-2.51136360168457,-3.9823153018951416,-4.6152437773617825,-3.2784263892607264,1.9517560043118214,1.245454547621987,2.6468181041153995,-11.515169963785276,1.4552699140336203,,
1931,-0.4658552559939298,-0.8209090731360698,-0.15590909177606754,-4.443500861254606,-5.32681834047491,-3.2836363619024103,-2.6913759058172047,-3.0509090120142157,-2.331363677978516,-3.9497736454010006,-4.6000967589291655,-3.307748822732405,1.9495387115261775,1.23545455715873,2.6618182567032895,-11.483082223322828,1.478160495974164,,
1932,-0.4603271397677335,-0.8059091112830417,-0.15590909177606754,-4.350369605151089,-5.211818187887018,-3.223636514490302,-2.5936906641179864,-2.9509090120142156,-2.23636360168457,-3.9116777896881105,-4.558589800921353,-3.2382633490995927,1.9339200057766655,1.220454547621987,2.6518182185563175,-10.051369010422885,1.4465842727118026,,
1933,-0.4549425515261564,-0.7959090731360698,-0.15590909177606754,-4.259532507983121,-5.106818264180964,-3.143636209314519,-2.484005719965155,-2.8309089357202697,-2.131363677978516,-3.867179727554321,-4.539269122210416,-3.190562848611312,1.9306785621426323,1.220454547621987,2.6268182185563176,-10.665086116665005,1.466668749075812,,
