x3,x4,x5,x6,x10,x11,x12,x13,x19,x20,x21,x22,x23,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
8.84E-10,-7.08E-12,1.71E-12,-1.10E-10,1.96E-07,9.72E-09,1.61E-08,1.04E-08,-1.37E-09,2.53E-08,-1.49E-08,-2.36E-09,3.88E-10,-3.04E-09,-5.94E-08,4.57E-08,8.45E-12,-1.03E-11,-9.10E-12,9.57E-09,8.17E-09,1.20E-08,1.34E-07,-2.66E-09,-2.16E-07,3.31E-10,1.15E-08,-1.31E-10,2.51E-09,1.55E-05,-1.38E-06,-3.95E-07,9.81E-13,-9.54E-10,1.60E-08
-7.08E-12,5.92E-11,-8.86E-12,-6.18E-11,7.18E-09,-2.16E-09,1.82E-09,-4.75E-09,9.56E-10,-4.38E-09,-6.50E-10,5.77E-10,-1.67E-09,8.28E-10,6.27E-08,-4.03E-08,-1.81E-12,2.42E-12,3.98E-12,-2.51E-09,-3.29E-10,2.42E-09,3.81E-08,-2.63E-10,-8.25E-08,-1.32E-10,1.64E-10,2.42E-10,-1.44E-09,3.09E-06,2.90E-07,-1.76E-08,-5.10E-13,-2.02E-10,-1.78E-08
1.71E-12,-8.86E-12,5.72E-10,-2.19E-10,-1.02E-07,3.00E-09,-7.34E-09,-6.66E-09,-2.78E-09,-2.62E-08,4.94E-09,-3.35E-09,1.45E-09,-3.19E-08,-9.63E-08,4.94E-08,1.12E-11,-6.99E-12,-1.69E-11,1.69E-08,-1.56E-09,-1.08E-08,-4.95E-08,-5.63E-10,9.74E-08,-1.51E-10,-2.94E-08,-1.42E-09,5.54E-09,2.72E-05,4.76E-07,-6.86E-07,1.36E-12,7.73E-10,-3.27E-08
-1.10E-10,-6.18E-11,-2.19E-10,1.83E-08,3.38E-07,2.03E-08,1.62E-08,-1.75E-07,-9.43E-09,9.97E-08,-2.09E-08,-5.04E-08,1.82E-08,-2.56E-10,-6.11E-07,3.45E-07,-5.53E-11,-1.95E-11,-6.83E-11,1.44E-07,-1.17E-07,-1.10E-07,7.10E-07,-2.01E-09,1.94E-06,-3.19E-09,-1.18E-08,3.15E-09,-7.97E-09,0.000111862,1.94E-05,-1.61E-05,-1.37E-11,-1.71E-12,3.51E-08
1.96E-07,7.18E-09,-1.02E-07,3.38E-07,0.010644123,-1.16E-05,-1.02E-05,5.14E-05,2.68E-05,-1.85E-05,7.18E-06,7.84E-06,2.33E-06,-8.64E-06,0.000265179,-6.07E-05,4.27E-08,2.85E-08,1.24E-07,-5.56E-05,-3.06E-05,4.48E-05,0.000902749,3.89E-06,0.000830877,-1.94E-06,-1.80E-05,-3.04E-06,2.22E-05,0.099894466,0.016554681,-0.015356149,-5.80E-09,1.09E-07,5.41E-05
9.72E-09,-2.16E-09,3.00E-09,2.03E-08,-1.16E-05,2.29E-05,-1.38E-06,-2.21E-06,-8.77E-07,2.36E-07,8.59E-07,-2.61E-07,5.77E-07,-1.32E-06,4.14E-05,-3.46E-05,6.56E-09,3.85E-10,-1.99E-10,8.19E-07,-1.44E-08,5.71E-06,-8.86E-06,1.17E-07,-4.69E-05,7.04E-09,-9.33E-07,1.97E-08,1.22E-07,0.016203517,-2.68E-05,-0.000179156,-3.58E-10,9.53E-09,-4.59E-06
1.61E-08,1.82E-09,-7.34E-09,1.62E-08,-1.02E-05,-1.38E-06,2.92E-05,-2.96E-06,7.69E-07,-1.90E-06,8.28E-07,3.03E-08,6.59E-07,-3.44E-06,2.09E-06,-2.56E-06,-5.75E-11,2.03E-10,-3.38E-09,-1.16E-06,5.19E-07,-1.35E-07,6.12E-06,2.46E-07,0.000104002,-1.13E-08,-3.14E-06,-2.34E-07,1.64E-06,-0.005485936,-0.000731468,0.000196004,4.30E-10,-1.77E-07,2.15E-05
1.04E-08,-4.75E-09,-6.66E-09,-1.75E-07,5.14E-05,-2.21E-06,-2.96E-06,0.000176841,7.86E-08,-2.25E-06,7.05E-06,-6.27E-06,-9.59E-07,3.26E-06,2.03E-05,2.21E-08,3.13E-09,4.38E-09,-1.37E-08,-1.10E-05,9.57E-06,-1.44E-05,-4.88E-05,3.14E-07,-0.000152845,4.74E-08,1.15E-05,7.43E-07,-3.10E-06,-0.034406666,-0.003934686,-0.000284901,-4.71E-10,-2.89E-07,-7.38E-06
-1.37E-09,9.56E-10,-2.78E-09,-9.43E-09,2.68E-05,-8.77E-07,7.69E-07,7.86E-08,2.44E-05,1.70E-06,-1.06E-06,1.13E-06,-2.04E-07,-1.64E-11,3.89E-06,2.29E-06,-1.18E-09,7.32E-10,2.11E-09,-5.49E-06,3.19E-07,3.83E-07,-2.15E-05,1.56E-08,-4.79E-07,1.26E-07,1.43E-06,4.51E-08,8.91E-07,0.003852281,-0.000775809,0.000815145,4.02E-10,8.15E-09,-4.88E-06
2.53E-08,-4.38E-09,-2.62E-08,9.97E-08,-1.85E-05,2.36E-07,-1.90E-06,-2.25E-06,1.70E-06,0.000443393,-1.25E-05,2.31E-06,-2.79E-06,4.60E-06,0.000163275,0.000352067,1.12E-08,-3.89E-09,2.37E-08,-5.64E-06,7.31E-06,-4.69E-06,-0.000296183,6.62E-07,2.93E-05,-3.47E-07,1.67E-05,5.25E-07,4.07E-06,0.088748435,0.000501812,0.000356807,-1.93E-11,1.41E-07,7.31E-06
-1.49E-08,-6.50E-10,4.94E-09,-2.09E-08,7.18E-06,8.59E-07,8.28E-07,7.05E-06,-1.06E-06,-1.25E-05,0.000109707,5.05E-06,2.61E-06,3.68E-07,8.41E-06,-1.73E-05,-1.16E-09,-8.76E-10,-1.46E-08,1.48E-05,2.34E-06,8.48E-07,1.18E-05,5.31E-07,5.04E-06,-3.92E-08,4.32E-06,1.80E-09,2.92E-06,0.023219772,-0.001084152,0.000720524,4.44E-10,-9.51E-08,-1.24E-05
-2.36E-09,5.77E-10,-3.35E-09,-5.04E-08,7.84E-06,-2.61E-07,3.03E-08,-6.27E-06,1.13E-06,2.31E-06,5.05E-06,3.57E-05,-8.88E-07,-2.35E-07,4.75E-06,3.43E-06,4.24E-09,-4.51E-10,7.03E-08,-9.40E-06,8.07E-07,-2.91E-06,-3.17E-06,3.69E-07,-4.84E-05,-4.08E-08,-1.10E-06,-1.03E-08,-5.64E-07,0.012604096,0.000573695,-0.000954989,-5.52E-10,-8.77E-08,3.26E-06
3.88E-10,-1.67E-09,1.45E-09,1.82E-08,2.33E-06,5.77E-07,6.59E-07,-9.59E-07,-2.04E-07,-2.79E-06,2.61E-06,-8.88E-07,3.25E-05,-4.61E-07,7.62E-06,-7.99E-06,-5.47E-10,2.00E-10,-6.05E-09,-4.82E-06,5.35E-07,-5.24E-06,-2.23E-05,-8.22E-07,-3.08E-06,1.74E-08,1.44E-09,6.64E-09,-6.08E-07,-0.001931116,-0.001169737,-0.000132167,7.55E-11,1.33E-07,-4.97E-05
-3.04E-09,8.28E-10,-3.19E-08,-2.56E-10,-8.64E-06,-1.32E-06,-3.44E-06,3.26E-06,-1.64E-11,4.60E-06,3.68E-07,-2.35E-07,-4.61E-07,2.95E-05,3.19E-06,1.06E-05,6.11E-10,-1.30E-09,-1.73E-08,4.97E-06,5.82E-06,1.56E-06,-4.38E-07,5.17E-07,9.89E-05,6.54E-08,1.20E-06,4.49E-07,-5.25E-06,0.004835634,0.000244435,0.000407679,-1.04E-09,1.76E-07,3.65E-06
