x1,x2,x3,x4,x5,x6,x8,x9,x10,x11,x12,x13,x17,x18,x19,x20,x21,x22,x23,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
3.86E-06,3.01E-05,-1.84E-09,4.57E-10,-6.62E-10,-6.27E-09,-1.53E-05,1.60E-06,6.60E-06,-3.91E-07,-6.20E-07,-2.28E-09,2.07E-07,-5.80E-05,-3.40E-07,-7.75E-07,-7.50E-07,2.16E-08,3.07E-07,1.23E-05,3.89E-07,8.77E-06,5.72E-07,-2.37E-06,5.50E-07,-5.02E-10,5.97E-10,7.17E-10,-1.93E-06,3.56E-06,-2.71E-07,-4.39E-06,-1.56E-07,-7.21E-06,-3.47E-08,-2.95E-07,1.17E-07,-1.06E-06,0.007899793,0.000447408,-0.000267701,-3.19E-10,-1.20E-08,4.33E-06
3.01E-05,0.034522677,-2.06E-07,-3.71E-08,-1.15E-08,6.05E-07,-0.00031964,-0.001008102,0.000205441,2.33E-05,3.00E-05,1.21E-06,-2.15E-05,-0.005814373,-1.20E-06,7.84E-05,4.69E-05,3.25E-05,1.57E-05,0.001377304,-0.000104185,0.000668333,-4.49E-06,1.14E-05,0.000106861,-4.15E-09,-5.14E-08,1.33E-08,7.81E-05,-0.000216719,5.61E-05,0.000218151,4.02E-05,-0.000565649,-1.39E-06,1.20E-05,-2.67E-06,-6.06E-05,-0.277216428,-0.016077697,0.044616859,3.44E-08,-7.13E-06,0.000371309
-1.84E-09,-2.06E-07,8.44E-10,6.93E-12,-1.41E-11,-1.28E-10,1.29E-08,8.13E-09,-4.08E-08,-7.58E-11,9.22E-09,7.68E-10,-3.38E-09,2.21E-08,2.95E-09,1.19E-08,-5.73E-09,-5.67E-09,-5.29E-09,-1.20E-07,-1.47E-08,-9.45E-08,7.18E-09,4.61E-09,2.27E-08,6.67E-12,-1.27E-11,-1.61E-11,-1.55E-08,3.41E-08,-2.14E-08,-1.15E-07,-9.41E-09,6.57E-07,1.15E-10,-3.42E-09,6.15E-10,-3.47E-09,6.93E-05,3.92E-06,-2.68E-06,-2.23E-12,8.90E-10,9.48E-09
4.57E-10,-3.71E-08,6.93E-12,6.36E-11,-1.09E-12,-5.58E-11,-6.15E-09,2.31E-09,-1.23E-08,-3.87E-09,6.52E-10,9.63E-11,-3.06E-09,-5.59E-07,-7.24E-10,2.33E-10,-3.26E-09,-1.36E-09,7.73E-10,5.31E-08,-8.87E-09,-2.88E-09,3.72E-10,2.71E-08,-1.72E-08,-8.46E-12,1.35E-12,-4.95E-12,-9.98E-10,-1.97E-09,5.07E-09,2.90E-08,-2.71E-10,8.04E-09,-2.01E-11,8.13E-10,-2.27E-10,1.39E-11,-1.66E-06,-1.11E-07,-1.89E-07,3.80E-13,2.26E-10,-1.23E-08
-6.62E-10,-1.15E-08,-1.41E-11,-1.09E-12,4.28E-10,-2.44E-10,2.58E-08,-2.70E-08,3.34E-10,2.05E-09,-1.06E-08,3.67E-10,1.76E-09,1.89E-06,-1.10E-09,3.81E-09,4.19E-09,-2.13E-10,-6.49E-10,-2.50E-07,2.53E-08,-4.96E-08,-2.10E-09,-4.29E-08,2.28E-08,1.36E-11,-2.40E-12,6.95E-12,-2.41E-08,-6.41E-08,3.54E-08,9.77E-08,-7.73E-10,-8.31E-08,-2.95E-11,-9.23E-09,-4.22E-10,-5.40E-09,-1.11E-06,7.29E-08,4.35E-06,3.82E-12,6.41E-10,5.41E-08
-6.27E-09,6.05E-07,-1.28E-10,-5.58E-11,-2.44E-10,2.00E-08,-1.06E-07,-4.36E-08,-3.03E-08,2.02E-08,2.96E-08,-6.05E-09,-3.74E-08,-1.57E-05,2.78E-08,-1.53E-07,-1.29E-08,-1.37E-09,-1.18E-08,2.53E-06,-2.27E-07,1.82E-07,2.04E-08,-2.92E-07,1.70E-07,-5.18E-11,2.20E-11,-3.29E-10,-7.92E-08,4.60E-07,-2.24E-07,1.32E-07,-3.49E-08,-1.96E-07,-1.46E-09,7.90E-08,-1.06E-08,1.56E-07,0.000549704,3.06E-05,1.57E-06,7.35E-12,-3.47E-09,-2.45E-07
-1.53E-05,-0.00031964,1.29E-08,-6.15E-09,2.58E-08,-1.06E-07,0.000669486,2.69E-05,-7.71E-05,-5.51E-06,8.22E-06,1.04E-07,1.65E-05,0.005746396,9.61E-06,7.44E-06,-1.04E-05,5.65E-06,-6.28E-06,-0.000580329,8.21E-05,-0.000131949,1.45E-06,8.08E-05,-8.41E-05,3.88E-08,6.56E-10,8.85E-08,1.55E-05,-1.27E-05,-1.03E-05,-4.03E-05,-5.80E-06,8.08E-05,-3.72E-07,1.61E-06,-1.14E-06,9.79E-06,0.035190499,0.002007806,0.002569668,3.39E-09,-1.23E-06,4.82E-05
1.60E-06,-0.001008102,8.13E-09,2.31E-09,-2.70E-08,-4.36E-08,2.69E-05,0.00175561,-0.000103512,1.12E-06,-1.64E-05,2.22E-08,-7.83E-06,-0.000759295,6.56E-06,3.46E-05,1.03E-05,-1.06E-05,-5.95E-07,-0.00013436,-8.04E-06,0.000146741,-9.99E-06,-3.24E-05,7.74E-05,-2.18E-08,-3.94E-09,-7.50E-08,-5.04E-05,5.12E-05,-5.34E-05,-0.000217397,2.62E-06,-0.000291067,2.37E-07,-1.10E-05,9.51E-07,-1.92E-05,0.01352113,0.000764113,-0.00645813,-5.92E-09,1.03E-06,-0.000287317
6.60E-06,0.000205441,-4.08E-08,-1.23E-08,3.34E-10,-3.03E-08,-7.71E-05,-0.000103512,0.005524107,1.13E-05,1.52E-05,-5.89E-07,-2.09E-07,-0.001332112,-1.72E-05,6.61E-05,-1.38E-05,3.04E-06,-4.21E-06,2.54E-05,-2.26E-05,0.000117769,-5.80E-06,-5.30E-05,0.000128548,-8.68E-09,-6.26E-09,5.43E-08,-4.66E-05,-2.35E-05,-1.54E-05,0.000785759,-1.07E-05,-0.00084873,9.03E-07,8.36E-06,-2.07E-06,-1.28E-05,0.002696327,0.000550901,0.001706328,7.54E-09,-2.94E-06,0.000139678
-3.91E-07,2.33E-05,-7.58E-11,-3.87E-09,2.05E-09,2.02E-08,-5.51E-06,1.12E-06,1.13E-05,3.27E-05,-4.89E-07,-1.04E-07,2.41E-07,-0.000104986,7.34E-07,2.39E-06,-3.79E-06,-3.75E-07,-1.85E-08,1.50E-05,-1.96E-06,4.30E-07,-3.09E-07,4.20E-05,-3.50E-05,4.31E-10,3.36E-09,1.11E-09,2.57E-06,3.25E-06,8.07E-06,-3.06E-05,3.80E-07,-7.76E-05,-1.13E-07,-7.17E-07,2.54E-07,-3.16E-06,0.001214862,6.26E-05,-8.70E-05,-4.74E-10,-9.19E-08,-2.74E-05
