x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
2.84E-06,2.99E-06,-9.14E-10,2.24E-10,-7.91E-10,-3.23E-09,-1.09E-05,5.59E-07,-9.54E-07,-5.03E-09,8.83E-08,5.96E-07,-2.84E-07,5.68E-05,-1.81E-07,-8.85E-07,-4.40E-08,3.07E-08,3.93E-08,-2.99E-06,-4.34E-08,-2.25E-06,-9.03E-09,3.54E-07,-1.01E-06,4.51E-10,-1.87E-11,2.75E-10,-4.23E-08,7.63E-07,-2.49E-07,-2.55E-06,-7.36E-08,8.36E-06,-2.15E-09,6.06E-07,4.28E-08,-5.90E-07,-5.38E-07,-4.03E-06,-6.59E-05,8.24E-12,-8.99E-10,-2.85E-06
2.99E-06,0.031455515,-1.06E-07,2.06E-08,-6.57E-09,-2.96E-07,6.95E-05,-0.000933385,0.000502871,2.94E-06,-3.28E-05,2.11E-05,-5.78E-05,-0.01487782,2.34E-05,-8.76E-06,1.29E-05,4.37E-06,1.72E-05,0.003155212,-0.000211384,0.000457045,-7.69E-05,0.000125268,2.81E-06,-1.48E-08,8.04E-09,-2.15E-07,1.84E-05,2.73E-05,2.40E-05,-9.62E-05,2.62E-06,0.000264901,-9.48E-07,-0.000258829,-1.16E-05,1.56E-06,0.0037214,0.00067227,0.000261279,-5.94E-09,-2.57E-06,-0.000126729
-9.14E-10,-1.06E-07,4.87E-10,-2.88E-12,-1.51E-11,-9.01E-11,4.26E-09,1.74E-08,5.92E-08,5.29E-10,1.93E-09,-1.41E-09,2.07E-11,2.26E-07,-2.93E-09,-3.95E-09,-1.22E-09,1.72E-09,4.63E-10,-6.48E-09,-4.03E-09,-3.20E-10,1.88E-09,9.16E-09,-5.25E-10,-2.12E-12,8.19E-12,7.13E-13,-1.04E-08,-8.62E-09,1.04E-08,-7.07E-09,2.28E-09,-1.57E-07,6.91E-11,5.46E-09,6.68E-10,-4.07E-09,2.23E-05,1.23E-06,2.30E-06,5.31E-13,-6.13E-10,1.73E-08
2.24E-10,2.06E-08,-2.88E-12,2.36E-10,-2.28E-12,-4.36E-11,4.58E-09,7.08E-09,2.01E-08,-7.41E-10,1.35E-09,1.87E-10,-2.09E-09,4.38E-08,1.30E-09,3.30E-10,3.60E-09,8.08E-10,1.71E-09,5.65E-09,-6.76E-09,-1.77E-08,-8.16E-10,-4.61E-09,-1.03E-08,3.73E-12,-8.15E-13,-4.69E-12,6.22E-09,-1.24E-09,-3.34E-09,6.47E-08,-9.64E-10,-7.26E-09,5.39E-11,-2.23E-08,-1.24E-09,5.52E-10,-3.38E-06,-2.10E-07,-2.35E-07,-1.30E-13,-9.57E-11,-8.00E-09
-7.91E-10,-6.57E-09,-1.51E-11,-2.28E-12,2.51E-10,-7.40E-12,7.51E-09,-3.83E-09,1.13E-09,2.79E-10,-1.63E-08,-1.02E-09,2.62E-09,6.49E-07,8.81E-10,-1.08E-10,-4.87E-10,-1.55E-09,3.41E-10,-9.59E-08,1.56E-08,-2.14E-09,-2.68E-09,-4.94E-09,6.68E-09,-3.62E-12,-4.02E-12,1.42E-12,-9.71E-09,-1.38E-08,1.15E-09,3.20E-08,-2.41E-09,1.38E-07,-2.01E-10,3.13E-08,7.54E-10,1.11E-08,-1.49E-05,-8.40E-07,7.44E-07,2.24E-12,1.21E-10,2.28E-08
-3.23E-09,-2.96E-07,-9.01E-11,-4.36E-11,-7.40E-12,1.74E-08,1.69E-08,2.96E-09,5.02E-08,3.39E-09,4.64E-08,-4.11E-07,-2.22E-09,-3.94E-06,7.56E-09,-2.35E-08,-1.19E-08,5.14E-09,1.53E-08,6.53E-07,1.15E-08,7.29E-08,3.75E-08,1.51E-08,3.24E-08,3.41E-11,-3.61E-11,1.82E-11,1.10E-08,2.82E-09,-3.53E-09,-5.98E-07,-2.99E-09,-2.16E-07,-1.07E-09,-3.53E-07,-1.65E-08,-2.27E-08,6.10E-05,3.40E-06,-1.42E-05,-1.30E-11,2.44E-09,-2.75E-07
-1.09E-05,6.95E-05,4.26E-09,4.58E-09,7.51E-09,1.69E-08,0.000419061,-1.24E-05,4.19E-05,-1.75E-07,-2.36E-06,-1.84E-06,1.31E-05,0.001645678,-2.50E-06,5.80E-06,-6.87E-07,-1.81E-06,3.71E-07,-5.29E-05,3.15E-05,-3.18E-05,4.62E-06,5.66E-06,-1.53E-06,2.88E-09,1.55E-09,4.29E-08,-1.59E-06,2.60E-06,-6.37E-06,0.000150783,-5.72E-07,7.95E-05,-3.63E-08,5.48E-06,-2.17E-08,7.76E-06,0.015858526,0.00075329,1.03E-05,-2.88E-11,-3.97E-07,-3.44E-05
5.59E-07,-0.000933385,1.74E-08,7.08E-09,-3.83E-09,2.96E-09,-1.24E-05,0.000467531,2.34E-05,-2.62E-07,6.35E-07,6.47E-07,-4.75E-06,-0.001913486,-2.81E-06,-3.48E-06,-1.53E-06,1.07E-06,-1.36E-06,0.000187512,-2.12E-05,1.12E-05,-4.79E-06,-1.49E-06,5.12E-06,6.30E-09,7.49E-10,-1.41E-08,-3.15E-06,-1.08E-05,9.70E-06,2.45E-05,7.01E-07,-0.00015727,4.37E-08,-1.38E-05,-6.39E-07,-2.48E-06,0.01618273,0.000934175,0.001108338,3.40E-10,3.92E-07,1.57E-05
-9.54E-07,0.000502871,5.92E-08,2.01E-08,1.13E-09,5.02E-08,4.19E-05,2.34E-05,0.006988703,-1.45E-08,-3.65E-06,1.44E-06,-2.93E-06,0.000337255,-7.51E-06,1.93E-05,-1.95E-05,4.73E-06,-1.63E-06,2.31E-07,-1.89E-05,-3.67E-05,-1.13E-05,-1.63E-05,-1.85E-05,-4.45E-10,-3.64E-08,3.61E-08,2.89E-05,-1.40E-05,1.47E-05,0.000112567,-1.82E-06,-0.000180924,9.62E-09,4.06E-05,2.63E-06,-1.75E-05,-0.109105128,-0.006224052,0.001795854,1.80E-09,2.56E-06,2.29E-05
-5.03E-09,2.94E-06,5.29E-10,-7.41E-10,2.79E-10,3.39E-09,-1.75E-07,-2.62E-07,-1.45E-08,3.88E-07,-1.44E-07,-2.09E-07,7.36E-08,5.99E-06,-2.97E-08,1.88E-07,1.17E-07,-9.10E-08,-4.03E-08,9.08E-07,2.47E-07,8.03E-07,-9.65E-08,-6.41E-07,1.05E-07,3.13E-10,2.67E-12,1.92E-10,1.82E-07,1.34E-07,2.64E-07,-3.37E-06,-4.48E-08,1.67E-06,5.72E-09,3.71E-08,-7.34E-09,8.38E-08,0.000722759,4.19E-05,3.75E-05,2.33E-11,1.60E-08,9.98E-07
8.83E-08,-3.28E-05,1.93E-09,1.35E-09,-1.63E-08,4.64E-08,-2.36E-06,6.35E-07,-3.65E-06,-1.44E-07,4.63E-05,-2.84E-06,3.87E-07,9.32E-05,-3.68E-07,-8.72E-07,6.21E-07,-4.65E-07,-5.26E-07,-1.30E-05,2.47E-06,9.59E-07,-7.82E-07,-1.06E-06,2.50E-06,3.00E-09,-7.69E-10,1.20E-09,1.34E-07,-1.43E-06,1.13E-06,6.16E-06,9.45E-07,-3.44E-06,-7.63E-11,3.07E-06,-7.42E-08,2.51E-06,0.007888371,0.000461839,-0.000263081,2.22E-10,-1.44E-07,8.99E-06
5.96E-07,2.11E-05,-1.41E-09,1.87E-10,-1.02E-09,-4.11E-07,-1.84E-06,6.47E-07,1.44E-06,-2.09E-07,-2.84E-06,7.43E-05,2.59E-06,0.000669227,-5.16E-07,2.02E-06,2.58E-07,-1.11E-06,6.86E-07,-5.65E-05,1.44E-05,1.21E-05,2.71E-06,-3.62E-06,5.87E-06,1.05E-09,-2.24E-09,5.62E-09,-9.05E-08,9.78E-06,-6.92E-06,3.42E-06,1.12E-06,1.64E-05,6.80E-08,-4.53E-06,9.51E-09,-1.13E-06,-0.006513496,-0.000399745,-3.90E-05,-5.37E-10,3.12E-08,2.03E-05
-2.84E-07,-5.78E-05,2.07E-11,-2.09E-09,2.62E-09,-2.22E-09,1.31E-05,-4.75E-06,-2.93E-06,7.36E-08,3.87E-07,2.59E-06,2.78E-05,0.001841319,-2.17E-07,1.24E-06,1.03E-06,-5.63E-07,-7.30E-08,-6.66E-06,4.62E-05,-1.60E-05,3.87E-06,-8.81E-07,-6.57E-06,-5.10E-10,1.76E-09,4.97E-08,4.72E-07,4.91E-07,-2.98E-06,5.56E-06,-2.72E-07,-2.17E-05,-4.83E-08,8.87E-06,3.32E-07,1.96E-07,0.003787277,4.78E-05,-0.000124022,2.59E-10,1.25E-07,-1.16E-05
5.68E-05,-0.01487782,2.26E-07,4.38E-08,6.49E-07,-3.94E-06,0.001645678,-0.001913486,0.000337255,5.99E-06,9.32E-05,0.000669227,0.001841319,0.705921738,4.50E-05,0.000109913,6.85E-05,-0.000136451,-4.14E-06,-0.076667243,0.009141146,-0.002363339,0.001812449,-9.00E-05,-0.000969606,-8.14E-08,2.98E-07,7.37E-06,-9.48E-06,-0.000126909,8.06E-05,0.004008958,-3.55E-05,-0.00544511,-1.42E-05,0.002223253,9.45E-05,7.39E-05,-0.639644867,-0.048646683,-0.030148986,4.58E-08,3.01E-07,0.001793987
-1.81E-07,2.34E-05,-2.93E-09,1.30E-09,8.81E-10,7.56E-09,-2.50E-06,-2.81E-06,-7.51E-06,-2.97E-08,-3.68E-07,-5.16E-07,-2.17E-07,4.50E-05,1.14E-05,8.68E-07,2.63E-07,-2.09E-07,-1.43E-08,-2.37E-06,9.41E-07,3.21E-06,2.44E-07,1.29E-06,-7.70E-07,4.20E-10,-6.23E-10,-1.51E-09,1.72E-07,1.13E-07,-1.81E-07,5.85E-06,-5.02E-08,3.62E-05,2.53E-08,4.72E-06,2.16E-07,6.51E-07,-0.001226201,-6.35E-05,1.04E-06,3.61E-11,1.61E-08,-3.69E-06
-8.85E-07,-8.76E-06,-3.95E-09,3.30E-10,-1.08E-10,-2.35E-08,5.80E-06,-3.48E-06,1.93E-05,1.88E-07,-8.72E-07,2.02E-06,1.24E-06,0.000109913,8.68E-07,0.000217043,5.68E-07,1.94E-07,1.34E-06,-2.03E-06,9.26E-06,2.00E-05,-9.65E-07,6.36E-06,0.000206168,1.43E-10,-3.33E-09,1.37E-08,4.63E-07,5.46E-06,-3.68E-06,-3.40E-05,-3.08E-07,6.00E-05,1.61E-07,1.01E-07,8.45E-08,-3.86E-07,0.000559207,5.51E-05,0.00083714,2.97E-10,1.40E-07,3.98E-05
-4.40E-08,1.29E-05,-1.22E-09,3.60E-09,-4.87E-10,-1.19E-08,-6.87E-07,-1.53E-06,-1.95E-05,1.17E-07,6.21E-07,2.58E-07,1.03E-06,6.85E-05,2.63E-07,5.68E-07,6.38E-05,2.01E-06,7.01E-07,-4.16E-06,1.41E-06,-3.42E-06,6.15E-08,2.14E-08,-1.55E-07,-1.51E-10,1.31E-09,-9.00E-09,4.15E-06,-3.28E-07,-1.07E-06,2.28E-05,-3.37E-07,2.48E-06,-7.76E-08,4.49E-07,1.50E-07,-1.68E-06,0.004107132,0.000228717,-0.000203912,-1.38E-10,4.50E-08,1.43E-05
3.07E-08,4.37E-06,1.72E-09,8.08E-10,-1.55E-09,5.14E-09,-1.81E-06,1.07E-06,4.73E-06,-9.10E-08,-4.65E-07,-1.11E-06,-5.63E-07,-0.000136451,-2.09E-07,1.94E-07,2.01E-06,1.99E-05,5.90E-08,1.77E-05,-4.74E-06,-3.82E-06,-1.61E-07,-3.92E-07,1.97E-07,7.05E-10,-1.42E-09,3.76E-08,-2.42E-06,-4.25E-08,2.25E-06,1.74E-05,4.83E-08,2.54E-05,2.53E-08,-1.02E-06,-4.71E-08,1.37E-08,0.001563592,9.74E-05,-7.29E-05,-1.02E-10,3.26E-08,-2.06E-05
3.93E-08,1.72E-05,4.63E-10,1.71E-09,3.41E-10,1.53E-08,3.71E-07,-1.36E-06,-1.63E-06,-4.03E-08,-5.26E-07,6.86E-07,-7.30E-08,-4.14E-06,-1.43E-08,1.34E-06,7.01E-07,5.90E-08,1.49E-05,1.01E-06,7.00E-07,3.01E-06,-3.07E-07,-5.16E-07,6.95E-07,-1.82E-10,7.57E-10,4.44E-10,2.22E-08,1.27E-06,-3.73E-07,5.25E-06,1.88E-07,4.23E-05,8.20E-09,-1.70E-06,-1.21E-07,8.60E-08,0.001964216,0.000118727,9.18E-06,4.75E-11,4.81E-08,-1.26E-05
-2.99E-06,0.003155212,-6.48E-09,5.65E-09,-9.59E-08,6.53E-07,-5.29E-05,0.000187512,2.31E-07,9.08E-07,-1.30E-05,-5.65E-05,-6.66E-06,-0.076667243,-2.37E-06,-2.03E-06,-4.16E-06,1.77E-05,1.01E-06,0.018734803,-0.000546827,0.000705903,-0.000328809,1.80E-05,2.45E-05,-5.17E-09,6.94E-09,-7.29E-08,2.39E-06,8.51E-06,-2.30E-05,-0.000751077,1.20E-07,6.91E-05,9.50E-07,-0.000277379,-1.12E-05,-2.23E-05,0.220041082,0.010441787,0.002892503,-7.35E-09,-2.74E-07,-5.32E-05
-4.34E-08,-0.000211384,-4.03E-09,-6.76E-09,1.56E-08,1.15E-08,3.15E-05,-2.12E-05,-1.89E-05,2.47E-07,2.47E-06,1.44E-05,4.62E-05,0.009141146,9.41E-07,9.26E-06,1.41E-06,-4.74E-06,7.00E-07,-0.000546827,0.000293412,0.000313361,9.81E-06,1.48E-07,-2.23E-05,-4.02E-09,6.87E-09,1.91E-07,-4.04E-06,-5.34E-06,-4.55E-06,2.28E-05,-2.00E-06,-9.29E-05,-1.71E-07,3.87E-05,1.57E-06,4.40E-06,-0.008815681,-0.000753551,-0.000234766,1.24E-09,1.08E-07,-9.15E-06
-2.25E-06,0.000457045,-3.20E-10,-1.77E-08,-2.14E-09,7.29E-08,-3.18E-05,1.12E-05,-3.67E-05,8.03E-07,9.59E-07,1.21E-05,-1.60E-05,-0.002363339,3.21E-06,2.00E-05,-3.42E-06,-3.82E-06,3.01E-06,0.000705903,0.000313361,0.00150781,-6.29E-05,6.03E-06,5.09E-06,-6.05E-09,-1.12E-09,-7.77E-09,-1.77E-05,-8.43E-06,-1.86E-05,-0.000135335,-2.19E-06,5.36E-05,4.16E-07,-1.29E-05,-4.39E-07,8.50E-06,-0.019619588,-3.17E-06,-0.000538143,2.51E-10,6.11E-07,-4.91E-05
-9.03E-09,-7.69E-05,1.88E-09,-8.16E-10,-2.68E-09,3.75E-08,4.62E-06,-4.79E-06,-1.13E-05,-9.65E-08,-7.82E-07,2.71E-06,3.87E-06,0.001812449,2.44E-07,-9.65E-07,6.15E-08,-1.61E-07,-3.07E-07,-0.000328809,9.81E-06,-6.29E-05,2.46E-05,1.44E-06,5.39E-06,-1.57E-09,-4.04E-09,4.48E-09,1.72E-06,4.99E-06,8.93E-07,2.01E-05,8.00E-07,1.11E-05,1.61E-09,-1.32E-06,7.96E-08,-2.67E-06,-0.002146395,-0.00018989,-3.09E-05,-4.50E-10,-3.91E-08,2.79E-06
3.54E-07,0.000125268,9.16E-09,-4.61E-09,-4.94E-09,1.51E-08,5.66E-06,-1.49E-06,-1.63E-05,-6.41E-07,-1.06E-06,-3.62E-06,-8.81E-07,-9.00E-05,1.29E-06,6.36E-06,2.14E-08,-3.92E-07,-5.16E-07,1.80E-05,1.48E-07,6.03E-06,1.44E-06,0.000149197,-4.06E-05,1.18E-08,2.21E-09,-3.21E-09,-2.48E-06,8.73E-06,-3.00E-07,8.98E-06,1.03E-07,6.51E-05,-5.43E-08,-2.99E-05,-1.69E-06,-5.61E-07,-0.000227093,-1.17E-05,0.001383076,6.24E-10,4.43E-07,-8.20E-06
-1.01E-06,2.81E-06,-5.25E-10,-1.03E-08,6.68E-09,3.24E-08,-1.53E-06,5.12E-06,-1.85E-05,1.05E-07,2.50E-06,5.87E-06,-6.57E-06,-0.000969606,-7.70E-07,0.000206168,-1.55E-07,1.97E-07,6.95E-07,2.45E-05,-2.23E-05,5.09E-06,5.39E-06,-4.06E-05,0.000480628,9.28E-10,1.34E-07,-5.88E-09,3.18E-06,9.31E-08,1.56E-06,-3.27E-05,-2.02E-06,8.42E-05,1.87E-07,1.84E-05,6.91E-07,2.80E-06,-0.022070639,-0.001167651,0.000289788,8.48E-10,-1.36E-08,1.76E-05
4.51E-10,-1.48E-08,-2.12E-12,3.73E-12,-3.62E-12,3.41E-11,2.88E-09,6.30E-09,-4.45E-10,3.13E-10,3.00E-09,1.05E-09,-5.10E-10,-8.14E-08,4.20E-10,1.43E-10,-1.51E-10,7.05E-10,-1.82E-10,-5.17E-09,-4.02E-09,-6.05E-09,-1.57E-09,1.18E-08,9.28E-10,9.16E-11,-2.38E-11,-6.60E-13,3.09E-09,-2.08E-09,1.24E-09,3.71E-08,-9.81E-10,-3.67E-08,-1.96E-11,-1.03E-12,-9.87E-11,7.92E-11,-5.47E-06,-3.04E-07,-6.23E-07,-8.95E-14,4.17E-11,-1.91E-08
-1.87E-11,8.04E-09,8.19E-12,-8.15E-13,-4.02E-12,-3.61E-11,1.55E-09,7.49E-10,-3.64E-08,2.67E-12,-7.69E-10,-2.24E-09,1.76E-09,2.98E-07,-6.23E-10,-3.33E-09,1.31E-09,-1.42E-09,7.57E-10,6.94E-09,6.87E-09,-1.12E-09,-4.04E-09,2.21E-09,1.34E-07,-2.38E-11,1.65E-10,-1.85E-13,-9.60E-10,1.24E-08,-5.43E-09,5.43E-08,5.91E-10,3.36E-08,8.97E-11,-2.16E-08,-1.18E-09,-8.77E-10,-2.24E-06,-1.74E-07,-5.86E-07,-5.54E-13,6.59E-11,-6.43E-09
2.75E-10,-2.15E-07,7.13E-13,-4.69E-12,1.42E-12,1.82E-11,4.29E-08,-1.41E-08,3.61E-08,1.92E-10,1.20E-09,5.62E-09,4.97E-08,7.37E-06,-1.51E-09,1.37E-08,-9.00E-09,3.76E-08,4.44E-10,-7.29E-08,1.91E-07,-7.77E-09,4.48E-09,-3.21E-09,-5.88E-09,-6.60E-13,-1.85E-13,4.48E-10,1.65E-08,1.65E-09,4.21E-10,-2.68E-08,-9.58E-10,-5.27E-08,-8.67E-11,5.76E-09,1.51E-10,-4.42E-10,-1.22E-06,-6.94E-07,3.37E-07,3.54E-13,2.91E-11,-5.05E-08
