"parameter_names","parameter_values"
sd_glaciers,0.0002030407281915101
sd_greenland,0.0005175193127730233
sd_antarctic,0.00018752259764520212
sd_gmsl,0.0029766764704499435
rho_glaciers,0.9878786202979581
rho_greenland,0.9762738175155514
rho_antarctic,0.9171104399464478
rho_gmsl,0.976001601386384
thermal_s0,-0.020800982366446147
greenland_v0,7.302991403234877
glaciers_sl0,0.005941912990883922
antarctic_s0,0.04736550935307065
thermal_alpha,0.060299570832754244
greenland_a,-0.14920900778743076
greenland_b,6.005838665584901
greenland_alpha,0.00016126804302839086
greenland_beta,0.0002850338615966322
glaciers_a,0.3204562175466419
glaciers_b,0.9914961759056297
glaciers_T_lia,-0.8734010095934204
glaciers_f,0.6396346993609435
glaciers_tau_fast,67.7847500153831
glaciers_tau_slow,529.0079384019779
anto_alpha,0.36947668515589804
anto_beta,0.3852740839498186
antarctic_gamma,3.4287153530101593
antarctic_alpha,0.4383000470221481
antarctic_mu,12.60202777566497
antarctic_nu,0.009337336777333533
antarctic_precip0,-0.49082925041918246
antarctic_kappa,0.04488619349533262
antarctic_flow0,1.6662228297029387
antarctic_runoff_height0,1759.344471577996
antarctic_c,101.08152952395086
antarctic_bed_height0,769.452189094051
antarctic_slope,0.0006184133133102662
antarctic_lambda,0.010280204241289644
antarctic_temp_threshold,-15.931141862223415
