"parameter_names","parameter_values"
sd_temp,0.07557007625491743
sd_ocean_heat,1.5261389813318238
sd_glaciers,0.00046592137511386087
sd_greenland,0.000527077681303692
sd_antarctic,0.000265325608892216
sd_gmsl,0.0016702755104742143
sigma_whitenoise_co2,0.3202257378308252
rho_temperature,0.4941111542942731
rho_ocean_heat,0.9485216225776925
rho_glaciers,0.09003206941629038
rho_greenland,0.9843671216299108
rho_antarctic,0.714851398512774
rho_gmsl,0.9511511947794858
alpha0_CO2,0.010017241806483638
CO2_0,277.48162750066393
N2O_0,268.09379538768064
temperature_0,-0.013502017951413491
ocean_heat_0,-27.66779995621458
thermal_s0,0.012700018899593414
greenland_v0,7.358125519394244
glaciers_sl0,0.022049175029858863
antarctic_s0,0.04507032084261043
Q10,3.7657347299485857
CO2_fertilization,0.7730461664512086
CO2_diffusivity,21.60283608695594
heat_diffusivity,3.271287933473638
rf_scale_aerosol,0.5021369827046777
climate_sensitivity,2.0162451358693634
thermal_alpha,0.14652997917583427
greenland_a,-0.15408817282895712
greenland_b,6.498535623714412
greenland_alpha,4.64402677906104e-5
greenland_beta,0.000537901217397236
glaciers_a,0.358290899956234
glaciers_b,0.31013652600895575
glaciers_T_lia,-0.6685501997043614
glaciers_f,0.565417347686527
glaciers_tau_fast,14.85932004409608
glaciers_tau_slow,194.91454807227385
anto_alpha,0.7447439116121412
anto_beta,0.5113094305780681
antarctic_gamma,1.7491496576775245
antarctic_alpha,0.12098504985731304
antarctic_mu,11.504078271198026
antarctic_nu,0.009067095401879883
antarctic_precip0,0.15398308608475741
antarctic_kappa,0.0697556175407707
antarctic_flow0,1.4099255438892597
antarctic_runoff_height0,2138.0324906193205
antarctic_c,122.3768581321544
antarctic_bed_height0,797.2457466528458
antarctic_slope,0.0006673116507773157
antarctic_lambda,0.009035455407319395
antarctic_temp_threshold,-16.04355087115304
sd_thermal,0.001
rho_thermal,0.5
