"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","x31","x32","x33","x34","x35","x36","x37","x38"
4.320105775565692e-10,-1.0614440438413934e-11,-1.3182105792736298e-11,-1.7204576588487387e-10,-7.969787340671874e-10,5.738526514927033e-10,-1.945034105396483e-9,3.5326081002315536e-9,-4.693117552019179e-10,-1.874300058459581e-10,2.264022973720957e-9,-6.486544199093062e-11,-1.6210423512059941e-9,1.68785411091337e-8,1.746836890582734e-9,-1.2898496411181692e-11,8.38919228575081e-12,1.4784176273757938e-8,-4.940281583076355e-8,1.790202633987808e-8,5.451969119872326e-8,-3.767954609318022e-6,-0.00010625555424910271,2.663503407345269e-8,-1.2970845153030535e-8,1.642799284432442e-7,1.7253941558363476e-9,9.080683155416406e-8,4.034198013497703e-11,5.765922606169622e-9,2.7609812165145276e-10,-2.06445079612202e-9,1.6207912661836153e-5,8.342199978328626e-7,-7.519932308791319e-7,-5.120911338059608e-13,-7.02999771377353e-10,-4.7288590950227735e-8
-1.0614440438413934e-11,3.106997765088944e-10,-1.0080279378296476e-11,-6.001195881359761e-11,3.5334016644489433e-10,-7.5301197773767e-10,5.34043382138964e-9,7.975262830468958e-10,-1.4861238245027695e-9,-7.627451227063324e-9,-6.062584795551583e-10,-1.0447394967409275e-9,-7.33738576584553e-10,-3.342270336992582e-8,-1.5232449202168654e-8,2.1671227467230654e-11,-9.056506245735192e-12,-2.2065769799032387e-9,-6.6644225191831026e-9,-2.089324888584056e-9,3.466972431094109e-9,9.707803364741245e-7,2.1215463540962464e-6,8.219739321116573e-9,-1.5234639051684516e-8,8.271092167778499e-8,-2.1990910454767876e-10,-2.5549048097169788e-8,-1.6462995740969278e-11,1.779066117092708e-8,1.3551305212608715e-9,-2.3601307211217943e-9,1.3132988030885262e-5,8.425411802625821e-7,-3.1155944987435715e-7,-1.8342655297579133e-13,1.831685373549087e-10,-3.2258436722029516e-8
-1.3182105792736298e-11,-1.0080279378296476e-11,2.983708060268467e-10,-6.495090184947684e-11,5.112136798673482e-10,4.0476798240200867e-10,-3.33761039912332e-8,2.0454546406972304e-11,9.4722566166387e-10,-6.911734104447814e-9,-1.4539796691934474e-9,-3.470249157060265e-10,-1.3187097586677124e-9,6.659397495555194e-9,5.0506562521010376e-9,-5.278063162048443e-12,-1.5288036286950354e-13,-2.606707316535332e-9,-4.527485952507408e-10,-5.261735765787471e-9,-3.4388660228146766e-9,-9.466726096765407e-7,2.84212233764161e-6,-4.470725213321755e-8,2.9636608200767058e-8,-4.0364660962748585e-9,-6.883087013591626e-9,1.1283511088926078e-7,1.406642649048324e-10,5.473716297144185e-8,3.0206857819471162e-9,2.3232819429449258e-9,-5.392023683605517e-6,-2.3284917681594218e-7,4.540845704551228e-7,1.2546310762162448e-12,-3.5373903567827833e-10,-6.400015299367469e-8
-1.7204576588487387e-10,-6.001195881359761e-11,-6.495090184947684e-11,3.0928776673418775e-8,-4.359725262150634e-11,3.268342850640787e-9,-3.272507389041215e-8,-5.28142624042996e-7,1.5911974092642771e-9,-2.1838841452365738e-8,-6.627284355211716e-10,-1.8617987170306917e-8,-1.6887093482493767e-8,2.1613767371589973e-7,-6.814397228673957e-9,-1.61099450420702e-10,-1.7891023789611142e-12,-2.9522979543338835e-8,1.2685532079790242e-7,-2.0309150759672062e-8,-4.480117037749994e-8,6.100469891209228e-6,0.0001465923348431529,1.5184926091950406e-8,-8.485732513565072e-8,4.1682150574556587e-7,-5.58415463701128e-9,3.877523395939105e-7,-7.703040876598876e-11,-1.8581785036688654e-7,-8.650587472800172e-9,-1.7876705512450463e-8,2.017821234357521e-5,8.488812446901894e-8,-1.9701135139999556e-6,-3.4707087037246767e-12,1.1620251633480035e-9,-1.5781479523593122e-7
-7.969787340671874e-10,3.5334016644489433e-10,5.112136798673482e-10,-4.359725262150634e-11,3.241160342136935e-7,-2.097332972166681e-8,-1.897342516292348e-7,-1.0391921426567735e-7,-3.0498977599533995e-9,-1.1951101857535425e-7,7.647369907305832e-8,-4.03737209756778e-9,3.547632714649745e-8,-2.8461412415632335e-7,6.008147349456502e-8,2.721610715749394e-10,-1.1279161208649973e-10,1.351638399992562e-7,-3.34157397539726e-7,1.845898360703232e-7,2.5237129115489115e-7,-2.827461589080628e-5,-0.00023456681022704945,1.9983820738896044e-7,-3.977993959754262e-7,-2.1087786746094753e-6,-7.434385506432408e-9,-1.4329645268191255e-6,-9.611082665996838e-10,4.2738144301329564e-8,3.3232533346472713e-9,5.6507674895388676e-8,-0.000262105972716195,-1.3730003948837973e-5,-1.4288778797002617e-5,-5.218044291890584e-12,1.5839249370087088e-8,9.373378029966083e-7
5.738526514927033e-10,-7.5301197773767e-10,4.0476798240200867e-10,3.268342850640787e-9,-2.097332972166681e-8,3.53857626386686e-7,-7.031328451246605e-8,-1.6253461268111575e-7,-7.969635476389444e-8,-1.160416272221297e-7,7.854489761984036e-8,3.934700718120107e-8,1.8037286368195283e-8,-8.477107348208219e-7,3.476689793843769e-7,5.298043455261248e-10,-5.7167075118536694e-11,1.3300464391131575e-7,-2.3124399949228215e-7,1.8164244941073535e-7,1.0801935816929324e-7,6.204662702742727e-6,-0.00018979544617646606,-1.3689577023482744e-7,-4.5349510070729284e-8,-7.190077806785417e-7,-5.5356498979759605e-8,-1.6491955198638757e-6,7.043967098343099e-10,-3.979428458137138e-7,-2.8870142556089612e-8,6.394309702265707e-8,-0.00024882926951294056,-1.1033871678818133e-5,-7.961424346491106e-6,5.61400951680984e-12,-7.919696923978009e-9,-5.477174170338258e-7
-1.945034105396483e-9,5.34043382138964e-9,-3.33761039912332e-8,-3.272507389041215e-8,-1.897342516292348e-7,-7.031328451246605e-8,0.00015410291520076325,-2.9168803692407105e-6,6.231375634473141e-7,3.6974793414935243e-6,6.556569966196936e-7,1.1446631782189265e-6,9.664555207875767e-8,-4.171292926213506e-6,4.5292153816693555e-6,2.8237141846228233e-9,-2.1685859368441665e-9,1.7533090779356741e-6,-5.2614876939916304e-6,3.117533269027915e-6,-6.805980424948936e-6,0.00030130080397734797,-0.004651654100834495,-1.596691760900479e-5,1.3818575768685e-5,-6.575667646465565e-5,-9.713387663965905e-7,-6.401627695478509e-5,-2.550659727471018e-8,-1.2735899430799166e-5,-6.902748744843926e-7,-5.204006403914672e-7,0.003037591087627817,0.00024715022433640586,-0.0003436169302495081,2.725955120036855e-11,3.678414721555968e-8,-2.5267225365137055e-6
3.5326081002315536e-9,7.975262830468958e-10,2.0454546406972304e-11,-5.28142624042996e-7,-1.0391921426567735e-7,-1.6253461268111575e-7,-2.9168803692407105e-6,6.292127926892594e-5,-6.119215071210149e-7,1.049256163482555e-6,6.115769993704726e-8,2.8436801020182035e-7,-1.594016216359659e-6,-2.959784869667787e-6,6.923652966509932e-6,2.6690117234978137e-9,-6.821275588545354e-9,1.093287874426897e-6,-3.895024446374525e-6,1.1668597360340766e-6,-5.9012376252451575e-6,0.000360069579944949,-0.00042986298310259845,1.753541798005969e-5,-1.4838161983762504e-5,-2.8129973711065883e-5,4.926149311049158e-7,-4.7910348001543754e-5,2.7601974666664576e-8,-7.0750888428768165e-6,-5.606216659824691e-7,1.4174068428002943e-6,-0.00011187534636098608,0.0001475459625807728,-7.562520758970402e-5,3.313506380530692e-11,8.455164167739088e-8,3.273021228815574e-5
-4.693117552019179e-10,-1.4861238245027695e-9,9.4722566166387e-10,1.5911974092642771e-9,-3.0498977599533995e-9,-7.969635476389444e-8,6.231375634473141e-7,-6.119215071210149e-7,2.140211380250662e-5,9.655327258299124e-7,-1.5617198457304958e-7,1.6485379811599972e-7,-1.142420798015217e-7,1.3262323090462786e-6,1.000884714318744e-6,2.7834818225610424e-10,2.8676107018064483e-10,-2.521976974226958e-7,-1.0150694686723437e-6,2.224300093017723e-7,1.8721645275902526e-6,0.00020474046182496447,0.0009427133561026637,4.500867527055246e-7,1.693375006267084e-6,-1.3914585449803912e-5,3.7750230403067945e-8,7.10715993255423e-6,-2.325776020668343e-8,-3.082664512015396e-6,-1.6112510586068205e-7,-8.607120439279714e-7,0.00280525508081953,0.00011826326120884359,-0.0001830180360351551,-1.2181346592758935e-10,1.403030929231083e-7,9.01049493240386e-6
-1.874300058459581e-10,-7.627451227063324e-9,-6.911734104447814e-9,-2.1838841452365738e-8,-1.1951101857535425e-7,-1.160416272221297e-7,3.6974793414935243e-6,1.049256163482555e-6,9.655327258299124e-7,0.0003222814920139916,3.862521956027873e-8,9.30707274792474e-7,1.4823952613542036e-7,3.0029508846360976e-6,0.0003023379427828518,-3.402010254275387e-10,-1.1943975595580524e-8,-2.936583622991679e-7,1.9932567034067463e-7,9.463721219440531e-7,4.68119756146669e-6,-0.00017374984247787198,0.0028350761396104987,8.62261203725536e-6,-4.878626027439389e-7,-3.730006839871858e-5,8.902127963947132e-7,2.209386387519537e-5,-3.871473781626411e-9,1.4882606215336274e-5,7.457245091683812e-7,-8.645947633789047e-7,-0.007292656901215101,-0.0004072438382627963,-0.0006088939746716298,-2.387393833081978e-10,2.119033177435337e-7,1.7447103089246904e-5
