parameter_names,parameter_values
sd_temp,0.080248369
sd_ocean_heat,0.87202902
sd_glaciers,2.52E-05
sd_greenland,0.000496639
sd_antarctic,0.000550878
sd_gmsl,0.000833364
rho_temperature,0.635348196
rho_ocean_heat,0.664461293
rho_glaciers,-0.034023697
rho_greenland,0.988744304
rho_antarctic,0.885455921
rho_gmsl,0.917931822
temperature_0,0.042765395
ocean_heat_0,-23.71133038
thermal_s0,0.026584826
greenland_v0,7.517182217
glaciers_v0,0.429579067
glaciers_s0,0.049735193
antarctic_s0,0.022947618
heat_diffusivity,3.090111222
rf_scale_aerosol,0.655115029
climate_sensitivity,2.550778699
thermal_alpha,0.132902546
greenland_a,-0.393723439
greenland_b,6.654748983
greenland_alpha,1.58E-05
greenland_beta,0.000546578
glaciers_beta0,0.001120248
glaciers_n,0.981340911
anto_alpha,0.304768932
anto_beta,0.556073069
antarctic_gamma,2.255281951
antarctic_alpha,0.170004018
antarctic_mu,8.274446449
antarctic_nu,0.009397264
antarctic_precip0,-1.308489966
antarctic_kappa,0.071853271
antarctic_flow0,0.699519892
antarctic_runoff_height0,1185.094903
antarctic_c,71.0210256
antarctic_bed_height0,787.161062
antarctic_slope,0.000599467
antarctic_lambda,0.009870009
antarctic_temp_threshold,-15.10685528
