"parameter_names","parameter_values"
sd_temp,0.079131405208239
sd_ocean_heat,3.63464493770085
sd_glaciers,0.00021142224016875783
sd_greenland,0.0005909325502089243
sd_antarctic,0.0002926421195420538
sd_gmsl,0.0023565806362861254
sigma_whitenoise_co2,0.1669208786466208
rho_temperature,0.6734189643546551
rho_ocean_heat,0.43600575762464555
rho_glaciers,0.2550978836888724
rho_greenland,0.9689079371317875
rho_antarctic,0.9542517405619134
rho_gmsl,0.9075036227364177
alpha0_CO2,0.010723777118429222
CO2_0,280.83872721633014
N2O_0,272.8447607588809
temperature_0,-0.008495134951001052
ocean_heat_0,-29.005861597047886
thermal_s0,0.028540958807981635
greenland_v0,7.463983833434251
glaciers_v0,0.529527956690935
glaciers_s0,0.03768515145125406
antarctic_s0,-0.000571581458829054
Q10,1.448673092409573
CO2_fertilization,0.6234091341139624
CO2_diffusivity,18.580594899989002
heat_diffusivity,3.9655281404243397
rf_scale_aerosol,0.6766222049279546
climate_sensitivity,3.3197951325264037
thermal_alpha,0.08833817051279515
greenland_a,-0.002186299810136176
greenland_b,6.814228373834932
greenland_alpha,0.00018608579082289868
greenland_beta,0.000729799019816187
glaciers_beta0,0.0009426725107709772
glaciers_n,0.8749506144708404
anto_alpha,0.22779855533011903
anto_beta,0.4779080835788023
antarctic_gamma,2.7712280894598487
antarctic_alpha,0.22532003849288687
antarctic_mu,8.72063603819998
antarctic_nu,0.0036014947534547944
antarctic_precip0,-1.4811851386524038
antarctic_kappa,0.043642250328130267
antarctic_flow0,0.7062572796664864
antarctic_runoff_height0,1197.5657143758776
antarctic_c,79.65322960749923
antarctic_bed_height0,817.6200069511715
antarctic_slope,0.0006401943593100247
antarctic_lambda,0.0069342330567051915
antarctic_temp_threshold,-15.478849736110483
