Year,MAP Ocean Heat
1850,-3.997968893
1851,-20.97959179
1852,11.29334518
1853,-18.98577174
1854,-16.57079016
1855,-12.05884601
1856,8.861582654
1857,-17.92563005
1858,-13.55594886
1859,-8.947207884
1860,-9.63965985
1861,4.378412532
1862,-23.14851245
1863,-31.64725098
1864,-39.24973185
1865,9.949354452
1866,-25.24449076
1867,7.811462623
1868,-3.502976114
1869,-12.49376022
1870,-23.60811169
1871,11.54936071
1872,1.932140453
1873,-27.65316108
1874,-26.3445386
1875,-31.0999097
1876,4.298230666
1877,-18.72642312
1878,3.305348309
1879,-3.948095793
1880,-0.80587226
1881,-1.910021428
1882,-19.23282449
1883,-13.92062859
1884,-20.75106692
1885,-5.573461429
1886,-30.3861873
1887,-0.609981143
1888,-37.7235523
1889,-33.95953668
1890,-2.371629169
1891,-33.99656421
1892,-4.514568588
1893,-39.19013698
1894,-18.69600734
1895,-6.311592804
1896,-2.840586973
1897,-5.720468028
1898,-1.000341567
1899,7.610940476
1900,-4.455687657
1901,-13.01710178
1902,9.29606931
1903,-1.318020666
1904,-21.86525263
1905,7.050163612
1906,-21.17708056
1907,-28.90552435
1908,-13.74847603
1909,-1.572694369
1910,-7.212523335
1911,-17.35619737
1912,-7.083657754
1913,-9.079005762
1914,-23.68605541
1915,-21.13226464
1916,-17.50403077
1917,-14.0376765
1918,-7.467152407
1919,-18.66670079
1920,-24.41779059
1921,-14.08692051
1922,4.896159527
1923,-31.17738559
1924,-14.69817029
1925,-14.87123468
1926,-34.99188594
1927,-1.846859878
1928,-34.41054815
1929,-25.0305837
1930,11.19085063
1931,-13.92121083
1932,6.088442729
1933,-26.85260283
1934,-20.00163508
1935,-27.02122436
1936,-11.24295348
1937,-37.32592594
1938,-1.54395129
1939,-13.85227504
1940,-2.954346948
1941,27.92626538
1942,-17.46295598
1943,-7.947435179
1944,-22.36795939
1945,-24.55145483
1946,0.756124703
1947,-22.26603344
1948,-7.726344957
1949,-6.340924059
1950,17.04470771
1951,2.4352664
1952,-24.25630668
1953,8.226212945
1954,-10.82549784
1955,11.79937129
1956,42.11947219
1957,-2.816983439
1958,-20.08800313
1959,20.63352405
1960,-7.54300938
1961,1.671211106
1962,3.333602598
1963,-9.160874496
1964,-35.98559941
1965,-14.64264578
1966,-6.752951201
1967,-8.361075626
1968,-14.89090462
1969,-18.51055853
1970,-6.873783792
1971,-11.13762204
1972,-10.07124269
1973,17.39257888
1974,1.169720432
1975,9.269973234
1976,4.482966596
1977,6.445146954
1978,-3.330257152
1979,16.83582258
1980,-4.558817079
1981,15.78386237
1982,7.555180705
1983,6.556213003
1984,-7.521482254
1985,2.222183919
1986,-5.698008436
1987,9.456418714
1988,2.332534421
1989,13.50860907
1990,11.33886761
1991,9.194636795
1992,11.6211123
1993,7.650973513
1994,11.39497476
1995,-5.714902312
1996,3.078107246
1997,20.05996827
1998,11.10639809
1999,18.85484955
2000,12.26031996
2001,27.34302429
2002,20.26261508
2003,35.62696222
2004,20.96038226
2005,14.58969018
2006,38.65176732
2007,22.42150571
2008,25.96924947
2009,27.33010991
2010,34.44249812
2011,45.61152804
2012,53.67416186
2013,30.6815114
2014,46.1165446
2015,35.03468756
2016,31.001327
2017,51.04947241
2018,46.64572538
2019,54.57843166
2020,47.83890585
2021,58.23855588
2022,49.46172411
2023,54.22706097
2024,50.75566994
2025,45.64923288
2026,56.13380373
2027,50.99183222
2028,65.44443019
2029,53.68980971
2030,52.08788683
2031,58.05096243
2032,74.03914784
2033,67.99881195
2034,80.04428521
2035,71.76487171
2036,81.52082462
2037,87.36114562
2038,82.55732753
2039,82.77580722
2040,90.15774335
2041,78.04951729
2042,85.57703566
2043,76.69943048
2044,101.178845
2045,92.32395641
2046,86.86158287
2047,88.72383494
2048,92.23132381
2049,100.5936955
2050,93.94151499
2051,105.7295049
2052,101.4862248
2053,108.6451985
2054,89.12827153
2055,108.3496427
2056,102.6880958
2057,116.306553
2058,120.3735835
2059,100.1321629
2060,124.694532
2061,113.328899
2062,126.6834479
2063,116.3408555
2064,110.1898881
2065,122.4794138
2066,132.5830662
2067,119.1256968
2068,138.8755028
2069,122.937886
2070,135.0343003
2071,123.3625369
2072,139.4724086
2073,141.8884324
2074,142.8825584
2075,152.671545
2076,151.6216496
2077,146.0705007
2078,146.3783677
2079,133.7309381
2080,148.210847
2081,151.6307733
2082,147.9021729
2083,148.0088209
2084,162.5899445
2085,171.669079
2086,176.5313304
2087,163.6181115
2088,172.9603885
2089,170.3272147
2090,175.5034372
2091,168.8199744
2092,184.5877277
2093,174.3208132
2094,172.9002875
2095,184.7775001
2096,169.4175781
2097,186.2246004
2098,181.2566937
2099,186.0194354
2100,192.0662385
2101,198.9087475
2102,183.5839293
2103,190.668933
2104,193.1409112
2105,201.0710476
2106,211.0401266
2107,188.7166089
2108,207.0658809
2109,211.292431
2110,196.6466788
2111,202.4366915
2112,207.6294187
2113,213.4407182
2114,195.9366909
2115,203.7835088
2116,212.8860545
2117,212.0732852
2118,201.2812801
2119,219.0727297
2120,219.9260002
2121,215.7072589
2122,213.5634718
2123,228.3478079
2124,227.156665
2125,220.1017371
2126,208.6647394
2127,220.806078
2128,217.5767078
2129,224.6639533
2130,231.5222123
2131,223.3230701
2132,224.4719623
2133,234.9036629
2134,218.0806584
2135,236.7586254
2136,234.3073135
2137,233.6741208
2138,234.3950762
2139,239.1746674
2140,233.3515086
2141,240.9106369
2142,237.4948072
2143,239.5333129
2144,238.8214281
2145,239.5279159
2146,232.9992562
2147,235.563604
2148,242.0828578
2149,244.5630951
2150,247.0394276
