Year,MAP Ocean Heat
1850,-21.48064705
1851,-23.17139
1852,-16.23538937
1853,-13.22873302
1854,-15.99914032
1855,-23.61373687
1856,10.34494151
1857,-13.91468812
1858,-30.84959566
1859,5.512519489
1860,-38.34777468
1861,-27.87924472
1862,-8.403544988
1863,-22.55644181
1864,-20.16519204
1865,-10.44334052
1866,-11.50107946
1867,-25.47744736
1868,0.33911005
1869,-26.59954694
1870,-26.41570332
1871,-28.72895612
1872,-1.820327584
1873,-33.59008796
1874,-26.33491058
1875,-12.1698103
1876,-0.207169741
1877,4.700274939
1878,-13.51173874
1879,-15.12892924
1880,-29.75550104
1881,-26.03063852
1882,-27.65588988
1883,-31.1531304
1884,-30.5922063
1885,-39.96866446
1886,-22.70259079
1887,-17.77595323
1888,-34.76636737
1889,-23.47602384
1890,-34.447329
1891,-37.47346026
1892,-14.66604213
1893,-41.97959686
1894,-27.84404111
1895,-34.54385049
1896,-14.26886326
1897,-39.67794403
1898,-20.42788991
1899,-55.82063774
1900,-30.68880224
1901,-23.74132222
1902,-36.70379929
1903,-30.35503488
1904,-24.15492459
1905,-37.85930934
1906,-33.00769812
1907,-33.03991493
1908,-23.56964654
1909,-0.142598557
1910,-19.22490901
1911,-5.853294659
1912,-7.805953483
1913,-19.20279634
1914,-14.95652495
1915,-43.60441834
1916,4.746946151
1917,-14.3244676
1918,-44.08033758
1919,-37.49143098
1920,-5.129642407
1921,-31.36435544
1922,-29.59574278
1923,2.872913341
1924,-10.14911067
1925,-25.90487962
1926,-24.53899338
1927,-18.54574335
1928,-12.79501419
1929,-48.91734594
1930,-19.03782821
1931,-17.91381844
1932,-9.494606714
1933,0.775654076
1934,-20.01756926
1935,-17.5152502
1936,-2.318143232
1937,8.430001583
1938,-6.877603322
1939,-36.41468129
1940,-1.137104495
1941,-14.52283038
1942,-12.13114858
1943,5.151755125
1944,8.457381397
1945,-2.518359835
1946,-18.64777632
1947,4.160314184
1948,1.054581596
1949,-4.268328967
1950,-26.39157668
1951,10.19109654
1952,7.831324173
1953,-18.98307511
1954,-9.084876496
1955,5.519803441
1956,-26.73200144
1957,-0.866499974
1958,-4.158613812
1959,-26.2619847
1960,-31.39724198
1961,21.33238171
1962,-6.074381731
1963,-3.326093313
1964,8.099783731
1965,-4.737779719
1966,-11.51121314
1967,-4.676465894
1968,2.004426014
1969,2.722591441
1970,-4.342890541
1971,-3.719278044
1972,2.396088059
1973,-2.220956954
1974,6.993882015
1975,14.43541429
1976,-5.712027842
1977,10.83831627
1978,4.400267267
1979,-0.830075294
1980,2.895476702
1981,1.165001109
1982,8.56260456
1983,1.944652719
1984,-8.226439257
1985,-2.517942456
1986,11.10982286
1987,15.9831003
1988,25.46336998
1989,-2.276622234
1990,7.397788759
1991,16.37374601
1992,22.43418921
1993,19.23607756
1994,0.606798612
1995,14.01628866
1996,16.72629416
1997,16.34894373
1998,15.94054637
1999,13.6121825
2000,27.59259456
2001,15.13134846
2002,17.11324525
2003,27.80212219
2004,21.24728031
2005,14.04166723
2006,17.82317131
2007,12.75101333
2008,11.59477539
2009,34.7315988
2010,19.10058897
2011,12.28349543
2012,24.79586717
2013,38.34390928
2014,39.64469961
2015,56.27800945
2016,47.28438976
2017,44.26729298
2018,45.13334205
2019,38.43471736
2020,57.81719178
2021,62.74825475
2022,57.67210488
2023,67.45419369
2024,72.44136738
2025,62.99678764
2026,60.91064429
2027,51.81422852
2028,62.48622107
2029,69.36592138
2030,81.18032978
2031,57.37904526
2032,79.25912052
2033,70.1145838
2034,72.84031288
2035,83.76991167
2036,86.39617784
2037,81.47466992
2038,97.26609598
2039,78.16100649
2040,112.4023468
2041,99.62313934
2042,101.7581994
2043,106.0878059
2044,107.5652056
2045,108.6492767
2046,100.4358817
2047,111.1061317
2048,101.3747412
2049,104.031832
2050,114.0512
2051,106.9552055
2052,108.1482873
2053,110.7383576
2054,120.5639839
2055,131.5910114
2056,132.89986
2057,132.422903
2058,124.6589507
2059,120.9081362
2060,132.3859704
2061,138.9298013
2062,146.3812617
2063,132.6860358
2064,146.258057
2065,145.5390948
2066,144.1470851
2067,148.6235987
2068,139.3660646
2069,143.7308901
2070,134.5641855
2071,142.7350867
2072,137.7159023
2073,138.4138276
2074,139.8812875
2075,154.287461
2076,150.3944754
2077,158.2744208
2078,156.1909891
2079,169.615449
2080,155.8693085
2081,168.287924
2082,159.1095475
2083,140.4611408
2084,138.1645514
2085,158.4425226
2086,152.4356878
2087,160.206364
2088,159.8046397
2089,143.8077702
2090,153.5795529
2091,159.7473005
2092,155.9264201
2093,166.0410307
2094,159.6655746
2095,145.6622693
2096,156.7667428
2097,172.0265854
2098,165.7200545
2099,161.8205695
2100,163.2505465
2101,165.7985383
2102,156.7912101
2103,169.8627875
2104,151.8020639
2105,162.0475623
2106,164.399455
2107,163.7090099
2108,146.390307
2109,158.1935814
2110,154.4629452
2111,165.462621
2112,169.6297878
2113,173.5312571
2114,158.8441274
2115,163.174505
2116,167.449269
2117,172.1904662
2118,176.3542337
2119,168.0463681
2120,178.2535271
2121,169.0532313
2122,172.6439552
2123,164.2414853
2124,158.0124938
2125,171.6869488
2126,173.4803059
2127,169.7731731
2128,160.6184732
2129,161.8129338
2130,170.6881034
2131,165.2884224
2132,172.9104804
2133,164.4649928
2134,167.8136062
2135,152.8170042
2136,156.7253207
2137,172.4220415
2138,160.0764704
2139,159.0001214
2140,166.9286328
2141,170.4404835
2142,165.1936942
2143,167.9110993
2144,156.9445731
2145,174.3843841
2146,174.8044176
2147,176.0714892
