Variable: Global average surface temperature anomaly from 1850-2300 normalized to 1850-1870 mean.,
Model: Simple Non-Linear Earth System Model (SNEASY) coupled to methane cycle model from MAGICC.,
"Model Parameterization: This represents the mean model response across 100,000 posterior parameter samples.",
Forcing and Emissions Scenario: RCP8.5,
,
Year,Mean_Temperature
1850,0.015978388
1851,0.01984424
1852,0.024209837
1853,0.027642114
1854,0.029948121
1855,0.020906619
1856,-0.023722954
1857,-0.077296795
1858,-0.085760487
1859,-0.060240666
1860,-0.030708321
1861,-0.013753028
1862,-0.010526262
1863,-0.00758397
1864,0.000623039
1865,0.010081814
1866,0.017604279
1867,0.024098426
1868,0.03099947
1869,0.039292447
1870,0.04836369
1871,0.055176737
1872,0.0562016
1873,0.052844426
1874,0.049275852
1875,0.04531787
1876,0.039325486
1877,0.035342183
1878,0.036415771
1879,0.039667641
1880,0.045126685
1881,0.051211589
1882,0.048530852
1883,-0.029133565
1884,-0.150876159
1885,-0.191890739
1886,-0.177395022
1887,-0.157300746
1888,-0.137913762
1889,-0.131093131
1890,-0.130796147
1891,-0.122881904
1892,-0.100014176
1893,-0.068125446
1894,-0.035093677
1895,-0.012257309
1896,-0.009513497
1897,-0.014920861
1898,-0.010417003
1899,0.004357618
1900,0.019629392
1901,0.029927684
1902,0.000567257
1903,-0.051438012
1904,-0.06280685
1905,-0.038634378
1906,-0.011020816
1907,0.00567648
1908,0.018639883
1909,0.034389214
1910,0.047400236
1911,0.057578723
1912,0.046407207
1913,0.029842707
1914,0.039205492
1915,0.060248751
1916,0.082709376
1917,0.101870471
1918,0.116410231
1919,0.126087242
1920,0.125773937
1921,0.123112396
1922,0.129664058
1923,0.137501208
1924,0.143267439
1925,0.150394856
1926,0.160222485
1927,0.169626635
1928,0.172436707
1929,0.170917492
1930,0.172867751
1931,0.177306835
1932,0.177302047
1933,0.178468866
1934,0.184360928
1935,0.194508948
1936,0.207133818
1937,0.218425867
1938,0.226248192
1939,0.23316602
1940,0.240697218
1941,0.246418143
1942,0.248924603
1943,0.249104795
1944,0.25352071
1945,0.260693839
1946,0.270163394
1947,0.278475384
1948,0.286656698
1949,0.291874988
1950,0.29309212
1951,0.291359187
1952,0.288367791
1953,0.284979271
1954,0.284436288
1955,0.289547106
1956,0.300756012
1957,0.315588806
1958,0.328239143
1959,0.337382551
1960,0.337656419
1961,0.327183018
1962,0.311862396
1963,0.261164127
1964,0.193693822
1965,0.174249436
1966,0.197403716
1967,0.229312141
1968,0.237279106
1969,0.238244187
1970,0.261194873
1971,0.295905924
1972,0.326327871
1973,0.34551927
1974,0.347713505
1975,0.342091636
1976,0.352187444
1977,0.378959259
1978,0.405542893
1979,0.432361462
1980,0.460793466
1981,0.477328143
1982,0.432019654
1983,0.371909274
1984,0.374585128
1985,0.404895118
1986,0.434826222
1987,0.463518865
1988,0.496668713
1989,0.532396967
1990,0.563806388
1991,0.510459845
1992,0.418292701
1993,0.413088298
1994,0.460195898
1995,0.512369306
1996,0.55671874
1997,0.59575728
1998,0.632762034
1999,0.670595598
2000,0.704551635
2001,0.734014426
2002,0.758092711
2003,0.776380843
2004,0.791098289
2005,0.800749454
2006,0.80209716
2007,0.802600336
2008,0.808504861
2009,0.82388882
2010,0.846662766
2011,0.87244512
2012,0.896750233
2013,0.91858411
2014,0.936649261
2015,0.951976121
2016,0.967261983
2017,0.982527183
2018,0.999569004
2019,1.017641706
2020,1.041953735
2021,1.072122637
2022,1.104448169
2023,1.135661041
2024,1.163827666
2025,1.187568516
2026,1.209062721
2027,1.22981798
2028,1.251282902
2029,1.273188238
2030,1.296918639
2031,1.325740189
2032,1.361640795
2033,1.399105215
2034,1.435418735
2035,1.469294203
2036,1.49877445
2037,1.525780113
2038,1.552726843
2039,1.580410595
2040,1.608974908
2041,1.638530546
2042,1.672646691
2043,1.713975629
2044,1.756086051
2045,1.797381527
2046,1.836022015
2047,1.870550133
2048,1.901997711
2049,1.932747632
2050,1.964131008
2051,1.996346097
2052,2.029368385
2053,2.067143658
2054,2.111113424
2055,2.156714179
2056,2.200629137
2057,2.24112956
2058,2.278097992
2059,2.311234483
2060,2.343918992
2061,2.377079986
2062,2.410297812
2063,2.444687147
2064,2.484626761
2065,2.529517638
2066,2.575280564
2067,2.620053523
2068,2.66116246
2069,2.698031176
2070,2.732403283
2071,2.765255945
2072,2.798212998
2073,2.830988744
2074,2.864696041
2075,2.903455303
2076,2.948474839
2077,2.994163344
2078,3.039012679
2079,3.079801743
2080,3.11589586
2081,3.149293643
2082,3.181663078
2083,3.214607395
2084,3.248134302
2085,3.28242603
2086,3.321872806
2087,3.367151429
2088,3.413497015
2089,3.458223206
2090,3.49971193
2091,3.536344699
2092,3.568834691
2093,3.601242685
2094,3.633450016
2095,3.665398572
2096,3.698771342
2097,3.735651437
2098,3.779393985
2099,3.823258327
2100,3.865453387
2101,3.904737078
2102,3.938139635
2103,3.967546587
2104,3.996678474
2105,4.025080914
2106,4.054547913
2107,4.084234039
2108,4.118138105
2109,4.157626246
2110,4.198485926
2111,4.237294566
2112,4.272651866
2113,4.303049482
2114,4.330153649
2115,4.356528038
2116,4.382643467
2117,4.408881171
2118,4.435970812
2119,4.466850746
2120,4.504451056
2121,4.542562988
2122,4.579409661
2123,4.611769737
2124,4.639976681
2125,4.664197087
2126,4.687542552
2127,4.711507316
2128,4.735745429
2129,4.76040324
2130,4.790289754
2131,4.825584921
2132,4.86202478
2133,4.896419524
2134,4.927633109
2135,4.954381595
2136,4.977123662
2137,4.998831687
2138,5.0211052
2139,5.043541908
2140,5.066626731
2141,5.094325535
2142,5.128498311
2143,5.163144282
2144,5.195976201
2145,5.225360837
2146,5.250335479
2147,5.271664788
2148,5.291895037
2149,5.313045289
2150,5.333865221
2151,5.355235506
2152,5.382240237
2153,5.414501971
2154,5.447102547
2155,5.47851795
2156,5.506229303
2157,5.52868382
2158,5.54788407
2159,5.566297832
2160,5.583963057
2161,5.60253172
2162,5.621875998
2163,5.646175964
2164,5.675858177
2165,5.705670357
2166,5.733882203
2167,5.758045238
2168,5.777782065
2169,5.794374931
2170,5.809559002
2171,5.824654366
2172,5.839897678
2173,5.856399344
2174,5.877262794
2175,5.903887216
2176,5.930736195
2177,5.956468992
2178,5.978305142
2179,5.994866249
2180,6.008167007
2181,6.020646746
2182,6.032601076
2183,6.045308228
2184,6.058554708
2185,6.077234167
2186,6.101081492
2187,6.125267867
2188,6.14780893
2189,6.166801087
2190,6.180692515
2191,6.191264353
2192,6.201096749
2193,6.211000998
2194,6.221172582
2195,6.231459823
2196,6.246580551
2197,6.267533599
2198,6.289644605
2199,6.309677561
2200,6.326740691
2201,6.338210812
2202,6.345937745
2203,6.352863497
2204,6.360363833
2205,6.367552263
2206,6.376238021
2207,6.389173458
2208,6.407846746
2209,6.426681393
2210,6.444125234
2211,6.458046695
2212,6.467687957
2213,6.473252143
2214,6.478290228
2215,6.482962331
2216,6.488757122
2217,6.494141285
2218,6.504273074
2219,6.520459939
2220,6.537897073
2221,6.55289241
2222,6.564700745
2223,6.572000184
2224,6.575139072
2225,6.57804463
2226,6.580886045
2227,6.583744411
2228,6.587340759
2229,6.594738768
2230,6.608535364
2231,6.623808863
2232,6.637093035
2233,6.646970354
2234,6.650911018
2235,6.652617003
2236,6.653148627
2237,6.653808572
2238,6.654020625
2239,6.655466175
2240,6.661326201
