Year,MAP Temperature
1850,-0.329909532
1851,0.08909578
1852,0.155971577
1853,0.117437353
1854,0.148691193
1855,0.299373464
1856,0.349702957
1857,0.097967722
1858,0.028124067
1859,0.010589865
1860,0.031904171
1861,-0.087309559
1862,0.028144995
1863,-0.222365905
1864,-0.039429017
1865,-0.177995414
1866,-0.144865872
1867,-0.038463449
1868,0.021390902
1869,-0.332116624
1870,0.034276933
1871,0.127423221
1872,0.078979867
1873,-0.040997963
1874,0.094251467
1875,0.005873016
1876,-0.027197241
1877,-0.035205266
1878,0.147345236
1879,0.201041957
1880,0.185583349
1881,0.153467275
1882,0.139117465
1883,-0.032542305
1884,-0.084860535
1885,-0.238772555
1886,-0.291088661
1887,-0.169995859
1888,0.014112765
1889,0.087810972
1890,-0.017151954
1891,-0.02786403
1892,0.006588571
1893,-0.014405748
1894,-0.122942393
1895,0.05719851
1896,0.080942911
1897,0.080353305
1898,-0.024467914
1899,0.055919402
1900,0.031979834
1901,0.044517139
1902,-0.017935221
1903,-0.225694893
1904,-0.148242037
1905,-0.108589117
1906,-0.059981287
1907,0.001436529
1908,-0.038502303
1909,0.033209525
1910,-0.035887685
1911,-0.146388988
1912,-0.161843839
1913,-0.208164411
1914,-0.067921437
1915,-0.140989354
1916,-0.185138135
1917,-0.026294199
1918,0.267059364
1919,0.072396339
1920,0.091371645
1921,0.098702821
1922,0.044290871
1923,0.113608715
1924,0.219345686
1925,0.336298121
1926,-0.003855457
1927,0.056793161
1928,0.161907956
1929,0.088347978
1930,0.029496313
1931,0.054224085
1932,0.130691579
1933,0.147505009
1934,0.101450819
1935,0.025354262
1936,0.01103767
1937,0.188714884
1938,0.095987518
1939,0.206536238
1940,0.235959739
1941,0.258710043
1942,0.124125564
1943,0.218396207
1944,0.149983121
1945,0.213278305
1946,0.07069706
1947,-0.002293955
1948,0.185371312
1949,0.169742062
1950,0.11774396
1951,0.106099855
1952,0.36955517
1953,0.388994347
1954,0.174177348
1955,0.282621252
1956,0.307114869
1957,0.273014441
1958,0.407528501
1959,0.412362789
1960,0.31844634
1961,0.071964265
1962,0.233531244
1963,0.015923397
1964,-0.095097756
1965,-0.056708816
1966,0.053591617
1967,0.043346586
1968,-0.019527177
1969,0.089163563
1970,0.145609522
1971,0.275122279
1972,0.285591109
1973,0.214440896
1974,0.360936396
1975,0.143216041
1976,0.238768989
1977,0.205839027
1978,0.116700583
1979,0.296972558
1980,0.423019899
1981,0.332922541
1982,0.103374663
1983,0.252936768
1984,0.285042078
1985,0.259744671
1986,0.31481057
1987,0.433995538
1988,0.541851617
1989,0.410166395
1990,0.496299421
1991,0.458510266
1992,0.124187905
1993,0.19580866
1994,0.387545257
1995,0.550683688
1996,0.664816868
1997,0.626066269
1998,0.738942306
1999,0.634049621
2000,0.760438994
2001,0.675142873
2002,0.73221148
2003,0.777976174
2004,0.725288817
2005,0.739226015
2006,0.758199325
2007,0.8191337
2008,0.981873631
2009,0.843257349
2010,0.743220786
2011,1.009047467
2012,1.04545467
2013,1.014881143
2014,0.945468732
2015,0.968667687
2016,1.117920903
2017,1.086739464
2018,1.066955317
2019,0.980189798
2020,1.001723832
2021,1.15115044
2022,1.223093122
2023,1.203685327
2024,1.343096842
2025,1.337259398
2026,1.292530688
2027,1.298771467
2028,1.376554103
2029,1.541966274
2030,1.494770177
2031,1.484878597
2032,1.318465626
2033,1.327411059
2034,1.401979983
2035,1.331679905
2036,1.375043748
2037,1.433134541
2038,1.646025244
2039,1.520523999
2040,1.562443432
2041,1.609748035
2042,1.88835123
2043,1.77285151
2044,1.619447518
2045,1.83025458
2046,1.729667336
2047,1.756521435
2048,1.756209121
2049,1.614907447
2050,1.783283669
2051,1.688705158
2052,1.764282543
2053,1.874849945
2054,1.867103502
2055,1.931016684
2056,1.861089043
2057,1.981404961
2058,2.013001057
2059,2.038732511
2060,2.000154112
2061,2.046524551
2062,2.051977356
2063,2.012815827
2064,1.972697096
2065,2.04072711
2066,2.087344553
2067,1.991791525
2068,1.929953052
2069,2.151188183
2070,2.207954065
2071,2.172674427
2072,2.218358526
2073,2.210366429
2074,2.220936772
2075,2.18274199
2076,2.208856682
2077,2.323401933
2078,2.381507741
2079,2.334703211
2080,2.208235421
2081,2.100342425
2082,2.246118125
2083,2.21495127
2084,2.085621654
2085,2.134518009
2086,2.062551836
2087,2.242227767
2088,2.175536171
2089,2.171790113
2090,2.364128439
2091,2.329825405
2092,2.428510175
2093,2.435446709
2094,2.285473136
2095,2.302430456
2096,2.301628569
2097,2.361132664
2098,2.463631207
2099,2.445259234
2100,2.356414568
2101,2.326086604
2102,2.29641354
2103,2.309619105
2104,2.184045887
2105,2.272050665
2106,2.245688243
2107,2.362916278
2108,2.315939253
2109,2.26185826
2110,2.25658516
2111,2.258677408
2112,2.310143176
2113,2.432315213
2114,2.441981806
2115,2.502447727
2116,2.417541512
2117,2.448933378
