Year,MAP Temperature
1850,-0.039826615
1851,0.190460715
1852,0.293174301
1853,0.073322701
1854,-0.072166932
1855,0.12555875
1856,0.032989303
1857,-0.09563781
1858,-0.075167868
1859,0.130611687
1860,0.125645049
1861,0.198295377
1862,0.311109074
1863,0.214729019
1864,0.158770181
1865,0.255797574
1866,0.364386876
1867,0.069397197
1868,0.084381626
1869,0.052524214
1870,0.017279973
1871,0.086263432
1872,0.129122105
1873,0.136036043
1874,0.128095396
1875,0.232566016
1876,0.075460014
1877,0.103599993
1878,-0.042714659
1879,0.070496342
1880,0.104675376
1881,0.252888808
1882,0.132791652
1883,-0.064445724
1884,0.034979456
1885,-0.028870524
1886,0.063841881
1887,-0.100009876
1888,-0.086410336
1889,-0.132413706
1890,-0.084185014
1891,0.136969182
1892,-0.08230259
1893,-0.06216693
1894,0.161455741
1895,0.136965751
1896,-0.105196616
1897,-0.016892816
1898,0.311983965
1899,0.228610422
1900,0.030937593
1901,-0.135261216
1902,-0.007503461
1903,-0.024260117
1904,0.023553875
1905,-0.180599234
1906,-0.163935213
1907,0.033834486
1908,0.012034658
1909,0.086643538
1910,0.057591779
1911,-0.064400863
1912,-0.041362217
1913,0.043278815
1914,0.093222539
1915,0.020907022
1916,-0.001876309
1917,0.165978998
1918,-0.064082978
1919,-0.113819773
1920,0.04611716
1921,0.065773116
1922,0.180639151
1923,0.060841817
1924,0.094594961
1925,0.014161927
1926,0.000343537
1927,-0.104560966
1928,0.188394362
1929,-0.14564197
1930,-0.037769161
1931,0.163961515
1932,0.052587043
1933,0.040895459
1934,0.068596617
1935,-0.088064226
1936,0.032285018
1937,0.062591315
1938,0.061210678
1939,-0.088045288
1940,-0.100089516
1941,0.127475589
1942,0.14634753
1943,0.25171733
1944,0.183176802
1945,0.12714563
1946,0.159748833
1947,0.176004306
1948,0.146382063
1949,0.132056368
1950,0.169368555
1951,0.11894007
1952,0.045087544
1953,0.327419557
1954,0.135089248
1955,0.074277054
1956,0.112000305
1957,0.25252344
1958,0.134406834
1959,0.258131835
1960,0.315251338
1961,0.30593281
1962,0.231390026
1963,0.222268092
1964,-0.003865703
1965,-0.042328552
1966,0.194268979
1967,0.234607271
1968,0.29509779
1969,0.245717926
1970,0.077265864
1971,0.195621087
1972,0.230162564
1973,0.338937609
1974,0.38669367
1975,0.354573984
1976,0.374643665
1977,0.419194339
1978,0.550251446
1979,0.461063691
1980,0.412682418
1981,0.450633432
1982,0.472314881
1983,0.390399022
1984,0.196818702
1985,0.296181199
1986,0.431789434
1987,0.339564139
1988,0.365206288
1989,0.583157755
1990,0.382597455
1991,0.288563671
1992,0.11078768
1993,0.131056505
1994,0.280852304
1995,0.342561671
1996,0.595801099
1997,0.624874519
1998,0.775158151
1999,0.544094713
2000,0.650472907
2001,0.751371868
2002,0.678072946
2003,0.793994922
2004,0.605216795
2005,0.691077108
2006,0.812593545
2007,0.799769872
2008,0.980325671
2009,0.906183375
2010,0.953220875
2011,0.949009499
2012,1.100967252
2013,0.944328947
2014,1.081024239
2015,1.046173869
2016,1.13673632
2017,0.949751997
2018,0.999389099
2019,1.031195554
2020,1.117351168
2021,1.038048481
2022,1.200680749
2023,1.368333889
2024,1.322955428
2025,1.174285154
2026,1.27280213
2027,1.230990417
2028,1.431888485
2029,1.344222851
2030,1.386803125
2031,1.293894923
2032,1.447771057
2033,1.460418797
2034,1.349470703
2035,1.418743849
2036,1.481857235
2037,1.562054897
2038,1.491770265
2039,1.617723383
2040,1.632420866
2041,1.600706096
2042,1.485799902
2043,1.593373725
2044,1.738863409
2045,1.99551532
2046,1.837290064
2047,1.871600299
2048,1.920244329
2049,1.955350874
2050,1.868813789
2051,2.003670058
2052,1.831592554
2053,2.028367681
2054,2.046068704
2055,2.100307454
2056,2.274406266
2057,2.203675896
2058,2.10863748
2059,2.328376454
2060,2.213962748
2061,2.106498401
2062,2.25568241
2063,2.083112198
2064,2.11247064
2065,2.113083377
2066,1.983057759
2067,2.006612434
2068,2.013086242
2069,2.159067062
2070,1.926934261
2071,1.882905697
2072,1.957720909
2073,1.923299043
2074,1.997721193
2075,1.995230458
2076,2.079302798
2077,1.908464332
2078,2.013590026
2079,1.850225766
2080,1.76660418
2081,1.900148162
2082,1.867769123
2083,1.86516371
2084,1.911943545
2085,1.938177996
